epsilon_progress,nfe
0,0
10,100
32,1197
56,2292
76,3383
91,4473
95,5571
107,6670
114,7764
122,8858
130,9950
135,10994
139,12048
140,13077
142,14081
146,15097
150,16131
154,17154
159,18193
170,19204
173,20242
173,21286
173,22302
177,23305
177,24313
177,25345
177,26357
179,27376
179,28380
180,29422
180,30425
181,31447
181,32483
181,33511
181,34529
181,35538
182,36546
183,37567
184,38613
184,39645
184,40672
188,41672
190,42724
192,43761
193,44778
193,45810
194,46869
195,47880
195,48914
197,49933
198,50982
199,52037
199,53067
202,54124
202,55131
203,56138
204,57181
204,58217
205,59252
205,60292
205,61304
205,62361
205,63385
205,64433
206,65440
206,66456
208,67465
208,68526
208,69547
209,70551
211,71594
211,72621
211,73646
211,74688
211,75719
212,76741
212,77786
212,78791
214,79821
214,80866
214,81897
214,82899
214,83913
214,84985
214,85991
215,87053
215,88113
217,89118
217,90179
218,91193
218,92202
220,93215
220,94272
220,95306
220,96367
220,97386
221,98431
221,99432
221,100463
221,101505
221,102519
221,103558
221,104585
221,105594
221,106603
221,107603
221,108658
222,109678
222,110689
223,111740
223,112770
223,113795
223,114833
223,115859
223,116910
223,117939
223,118945
223,119954
223,120990
223,121996
223,123026
223,124078
223,125124
223,126170
223,127185
223,128191
223,129192
223,130202
223,131248
224,132273
224,133322
224,134371
224,135410
224,136415
225,137426
225,138444
226,139462
226,140486
226,141523
226,142546
226,143555
226,144570
227,145625
227,146673
228,147697
228,148725
228,149767
228,150802
228,151836
229,152863
229,153891
230,154891
230,155929
230,156951
230,158007
232,159013
232,160019
233,161093
233,162151
233,163169
233,164189
234,165201
234,166206
234,167223
234,168248
234,169271
234,170283
235,171310
235,172323
235,173346
235,174362
235,175374
235,176394
235,177426
235,178467
235,179478
235,180505
235,181522
235,182536
235,183574
235,184612
235,185638
235,186655
235,187665
235,188692
235,189727
235,190755
235,191767
235,192775
235,193782
235,194793
235,195831
235,196833
235,197849
235,198882
235,199895
