0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,10-p upstream_flooding,10-p water_demand
1,6,6,5,6,5,5,4,4,5,5,5,5,5,10,6,8,8,7,5,5,7,5,7,7,5,4,6,5,6,3,5,6,7,7,6,5,5,9,5,5,9,5,6,6,7,7,4,7,6,5,4,4,6,5,7,7,6,5,6,7,6,6,6,3,5,6,5,6,6,6,5,6,6,5,4,4,5,5,6,5,5,6,5,7,5,6,7,6,4,6,6,6,7,6,6,5,6,9,4,-6.493868075052076,-10.194946599270434
6,6,9,5,5,5,5,5,7,5,5,10,5,5,5,5,8,8,7,5,5,7,5,6,7,5,5,6,4,6,7,5,5,7,7,6,5,10,9,6,5,6,5,6,6,7,6,4,4,6,5,4,5,9,5,7,6,9,5,6,7,8,7,6,7,5,6,5,5,6,6,5,6,6,5,4,7,5,6,6,5,5,6,10,7,5,5,7,6,4,6,6,6,6,5,6,5,6,6,4,-3.529213752576382,-10.411314938486457
1,6,6,6,5,5,5,4,4,5,5,5,5,5,5,5,8,7,7,5,4,7,5,6,7,5,5,6,5,6,4,5,5,7,7,6,5,5,6,5,5,9,5,6,6,7,6,4,7,6,5,4,4,6,5,6,7,8,5,6,7,9,7,5,5,5,6,5,6,6,6,5,6,6,5,4,6,4,6,7,5,5,6,5,7,5,9,7,6,4,6,6,6,6,6,6,5,6,9,5,-5.767369330772199,-10.240586313961982
10,9,7,5,6,5,5,7,4,5,5,5,5,5,5,6,8,7,6,5,5,7,5,6,7,5,5,6,5,9,4,7,5,7,7,6,5,4,6,6,5,6,3,5,7,7,7,4,6,6,5,5,5,9,5,8,6,9,6,6,6,6,7,5,8,4,6,5,5,5,6,5,9,6,5,6,6,5,6,10,5,6,6,10,7,4,5,4,9,4,6,6,7,6,6,6,5,6,6,7,-2.5990209367445356,-10.589624544138752
10,9,8,6,6,5,5,5,7,10,4,5,5,10,5,5,10,7,7,5,5,6,5,6,7,5,5,7,5,6,7,5,5,7,7,7,5,10,6,6,6,6,4,5,6,6,6,4,6,6,10,5,5,6,5,6,6,9,5,6,6,8,4,5,3,5,6,5,6,6,6,5,6,6,5,7,6,4,6,5,5,5,6,10,7,5,6,7,9,7,6,6,6,5,6,7,5,6,6,6,-2.367629835162669,-10.59995665119051
5,9,5,6,6,5,5,5,7,5,4,5,5,10,5,4,9,7,7,5,5,6,5,6,7,5,5,7,5,6,7,5,5,7,7,7,5,10,6,6,6,6,4,5,6,6,6,4,6,6,5,5,5,6,5,6,6,9,5,6,6,8,4,5,10,5,6,5,6,6,6,5,6,6,5,7,6,4,6,5,5,5,6,10,7,4,6,7,9,4,6,6,6,5,6,7,5,6,6,6,-3.439557393052204,-10.492685842677226
10,9,8,6,6,5,5,5,7,5,4,5,5,10,5,5,9,7,7,5,5,6,5,6,7,5,5,7,5,6,7,5,5,7,7,4,5,10,6,6,6,6,4,5,6,6,6,4,6,6,5,5,5,6,5,6,6,9,5,6,6,8,4,5,10,5,6,5,6,6,6,5,6,6,5,7,6,4,6,5,5,5,6,10,7,4,6,7,9,4,6,6,6,5,6,7,5,6,6,6,-2.2314786411062353,-10.610603073496272
6,9,8,6,6,5,5,5,7,5,5,5,5,5,5,5,9,7,7,5,5,7,5,6,7,5,5,7,5,6,7,5,5,7,7,7,5,10,9,6,6,6,4,6,6,7,6,4,4,6,5,4,5,6,5,6,6,9,5,6,7,8,7,5,10,5,6,5,5,6,6,5,6,6,5,4,7,5,6,6,5,5,6,10,7,5,5,7,6,4,6,6,6,5,5,6,5,6,6,7,-2.684981949970124,-10.546448068465349
10,10,9,6,6,5,5,5,7,5,4,5,5,10,5,5,9,7,7,5,6,6,5,6,7,5,5,6,5,6,7,5,5,7,7,7,5,10,9,6,6,6,5,6,6,6,6,4,6,9,5,5,5,5,5,6,6,9,5,6,6,8,7,5,10,5,6,5,6,6,9,5,6,6,5,7,6,4,6,5,5,5,6,10,7,5,6,7,9,4,6,6,6,5,6,7,5,6,6,9,-2.0820177216997635,-10.799451530573497
6,9,8,6,6,5,5,5,7,5,4,5,5,5,5,5,9,7,7,5,6,6,5,6,7,5,5,7,5,6,7,5,5,7,7,7,5,10,6,6,6,6,4,5,6,7,6,4,6,6,5,5,5,6,5,6,6,9,5,6,6,8,7,5,10,5,6,5,6,6,6,5,6,6,5,7,6,5,6,5,5,5,6,10,7,5,5,7,6,4,6,6,6,5,6,6,5,6,6,7,-2.7815618020036452,-10.528603298626477
10,10,8,6,6,5,5,5,7,5,4,5,5,10,5,5,9,7,7,5,6,6,5,6,7,5,5,7,5,6,7,5,5,7,7,7,5,10,6,6,6,6,4,6,6,6,6,4,6,6,5,5,5,6,5,6,6,9,5,6,6,8,7,5,10,5,6,5,6,6,6,5,6,6,5,7,6,4,6,5,5,5,6,10,7,5,6,7,9,4,6,6,6,5,6,7,5,6,6,9,-1.8867785262192611,-11.291809944258004
