epsilon_progress,nfe
0,0
8,100
26,1194
56,2289
82,3387
98,4485
113,5578
131,6676
145,7766
161,8863
168,9958
180,10991
195,12022
200,13068
203,14085
203,15109
205,16137
205,17167
206,18196
208,19223
210,20246
214,21272
216,22296
217,23323
219,24349
220,25364
223,26410
223,27413
233,28459
235,29503
237,30511
237,31553
238,32571
238,33637
238,34653
238,35669
238,36712
238,37769
238,38805
238,39818
238,40868
239,41903
239,42939
239,43948
239,44981
240,46019
240,47063
240,48119
241,49188
243,50239
243,51275
244,52276
246,53288
246,54355
246,55409
248,56468
248,57486
248,58512
248,59568
248,60637
248,61693
248,62726
249,63798
249,64802
249,65845
249,66910
249,67979
249,68997
250,70047
250,71089
250,72117
250,73174
250,74194
250,75205
250,76248
250,77271
250,78288
250,79313
250,80340
250,81390
251,82444
251,83481
251,84501
253,85558
253,86610
254,87681
254,88752
254,89817
255,90852
255,91911
255,92914
255,93965
256,94966
256,95971
258,96971
258,97971
258,98979
258,99985
258,100993
258,102032
258,103079
258,104086
258,105101
258,106137
258,107156
258,108162
258,109163
258,110192
258,111242
258,112256
258,113257
260,114311
260,115324
260,116379
260,117411
260,118415
260,119454
262,120468
263,121491
264,122528
264,123564
265,124573
265,125616
266,126650
266,127666
266,128694
266,129697
266,130720
267,131759
267,132772
267,133821
267,134824
267,135830
267,136848
267,137858
267,138878
267,139903
267,140911
267,141959
267,142969
268,144006
268,145040
268,146052
268,147088
269,148094
270,149112
271,150122
271,151158
271,152204
271,153238
271,154288
272,155337
272,156337
272,157342
272,158371
272,159403
272,160403
272,161411
272,162412
272,163425
272,164473
272,165508
273,166555
273,167580
273,168624
273,169675
273,170704
273,171726
273,172774
273,173811
273,174856
273,175901
273,176924
273,177928
273,178979
273,180005
273,181034
273,182040
273,183061
274,184086
276,185123
276,186158
276,187161
276,188167
276,189199
276,190234
276,191260
276,192310
276,193354
276,194399
276,195449
276,196449
276,197460
276,198491
276,199547
