0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,avg upstream_flooding,avg water_demand
6,5,6,5,6,5,7,5,5,6,10,5,5,7,7,5,5,7,5,8,6,8,5,6,6,4,6,6,4,5,6,6,5,6,4,7,6,10,5,7,4,9,6,9,4,5,6,6,5,4,5,5,7,6,7,6,5,5,6,5,7,7,6,7,4,7,5,4,5,7,4,6,5,6,7,6,5,6,5,4,6,7,5,5,5,5,4,5,5,6,5,9,6,6,7,4,7,5,5,6,-4.047930831208599,-9.412353220223677
9,5,6,5,6,9,7,7,6,6,5,6,5,10,6,5,5,6,5,6,5,9,6,6,5,4,6,5,4,6,5,7,5,7,5,7,6,9,5,7,6,9,7,10,7,5,6,6,5,3,5,6,7,6,7,5,5,5,6,5,7,7,5,7,4,4,10,5,5,7,4,7,5,6,7,5,5,4,6,7,6,7,5,5,6,6,5,5,5,6,10,9,4,5,6,5,5,10,5,6,-3.1649303519285974,-9.50686781623639
10,10,6,6,6,9,6,6,5,6,9,5,6,6,7,5,5,6,5,7,5,10,5,6,9,4,6,7,7,10,5,6,5,6,5,7,6,10,5,7,7,9,6,7,7,5,6,6,5,5,5,6,7,6,7,6,10,6,7,5,7,7,5,7,4,7,5,5,5,7,4,6,5,8,7,6,5,6,6,7,6,6,5,6,5,6,5,5,5,5,5,9,5,10,7,7,7,5,5,9,-1.2993363587130804,-10.718474997719806
10,10,7,6,6,9,6,6,5,6,9,5,6,6,7,5,5,6,5,7,5,10,5,6,9,4,6,7,4,9,5,6,5,6,5,7,6,10,6,7,7,9,7,7,7,5,6,6,5,5,5,6,7,6,7,6,10,6,7,5,7,7,5,7,4,6,5,5,6,7,4,6,5,6,7,5,6,6,5,7,6,7,5,6,5,6,5,5,5,5,5,9,6,10,7,7,7,5,5,9,-1.4098532658876823,-10.077189606661141
10,10,6,6,6,9,6,6,5,6,9,5,6,6,7,5,5,6,5,7,5,10,5,6,9,4,6,7,7,6,5,6,5,6,5,7,6,9,6,7,7,9,6,7,7,5,6,6,5,5,5,6,7,6,7,6,10,6,8,5,7,7,5,7,4,7,5,5,5,7,7,6,5,6,7,5,5,6,6,7,6,9,5,6,5,6,5,5,5,5,5,9,6,10,7,7,7,5,5,9,-1.7549230047605897,-9.767810330000206
10,10,6,6,6,9,6,6,5,6,9,5,6,6,7,5,5,6,5,7,5,10,5,6,9,4,6,7,7,6,5,7,5,6,5,7,6,9,6,7,7,9,6,7,7,5,6,6,5,5,5,6,7,6,7,6,10,6,8,5,7,7,5,7,4,7,5,5,5,7,7,6,5,6,7,5,5,6,6,7,6,6,5,6,5,6,5,5,5,5,5,9,6,10,7,7,7,5,5,9,-1.3650981587921192,-10.265993840164134
10,10,6,6,6,9,6,6,5,6,9,5,6,6,7,5,5,6,5,7,5,10,5,6,9,4,6,7,7,6,5,6,5,6,5,7,6,9,6,7,7,9,5,7,7,5,6,6,5,5,5,6,7,6,7,6,10,6,8,5,7,7,5,7,4,7,5,5,5,7,7,6,5,6,7,5,5,6,6,7,6,6,5,6,5,6,5,5,5,5,5,9,6,10,7,7,7,5,5,9,-1.399812630267848,-10.170939216067197
10,10,6,6,6,9,6,6,5,6,9,5,6,6,7,5,5,6,5,7,5,10,5,6,9,4,6,7,7,6,5,6,5,6,5,7,6,9,6,4,7,9,6,7,7,5,6,6,5,5,5,6,7,6,7,6,10,7,8,5,7,7,5,7,4,7,5,5,5,7,7,6,5,5,7,5,5,6,6,7,6,6,5,6,5,6,5,5,5,5,5,9,6,10,7,7,7,5,5,9,-1.635527756685655,-9.822043768848783
10,10,6,6,6,9,6,6,5,6,9,5,6,6,7,5,5,6,5,7,5,10,5,6,9,4,6,7,7,6,5,6,5,6,5,7,6,9,6,7,7,9,6,7,7,5,6,6,5,5,5,6,7,6,7,6,10,6,8,5,7,7,5,7,4,7,5,5,5,7,7,6,5,6,7,5,5,9,6,7,6,6,5,6,5,6,5,5,5,5,5,9,6,10,7,7,7,5,5,9,-1.4709440676936842,-9.87975520377139
10,5,6,6,6,9,6,6,5,6,9,5,6,6,7,5,5,6,5,7,5,10,5,6,9,4,6,7,7,6,5,7,5,6,5,7,6,9,6,7,7,9,6,8,7,5,6,6,5,5,5,6,7,6,7,6,10,6,8,5,7,7,5,6,4,7,5,5,5,7,7,6,5,6,7,5,5,6,6,7,6,6,5,6,10,6,5,5,5,5,5,9,6,10,7,7,7,5,5,9,-2.2504693897319026,-9.603544548883518
10,10,6,6,6,9,6,6,5,6,9,5,6,6,7,5,5,6,5,7,5,10,5,6,9,4,6,7,7,6,5,7,5,6,5,7,6,9,6,7,7,9,6,7,7,5,6,6,5,5,5,6,7,6,7,6,10,6,8,5,7,7,5,7,4,7,5,5,5,7,7,6,5,6,7,5,5,9,6,7,6,6,5,6,5,6,5,5,5,5,5,9,6,10,7,7,7,5,5,9,-1.347143700945355,-10.342746553969246
10,5,6,6,6,9,6,6,5,6,9,5,6,6,7,5,5,6,5,7,5,10,5,6,9,4,6,7,7,6,5,6,5,6,5,7,6,9,6,7,7,9,6,7,7,5,6,6,5,5,5,6,7,6,7,6,10,6,8,5,7,7,5,7,4,7,5,5,5,7,7,6,5,6,7,5,5,6,6,7,6,6,5,6,5,6,5,5,5,5,5,9,6,10,7,7,7,5,5,9,-2.1878288915403825,-9.75978348494902
