0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,10-p upstream_flooding,10-p water_demand
9,10,9,9,6,7,5,5,5,6,6,7,6,6,6,6,5,6,7,7,7,7,10,5,6,6,5,6,5,5,6,7,7,7,4,8,5,6,9,4,6,5,7,7,6,7,6,6,5,4,6,5,5,6,5,5,5,6,5,6,5,4,5,6,4,7,5,7,5,6,6,5,5,7,6,6,6,7,6,6,9,6,5,6,5,10,7,5,4,6,6,6,6,7,9,9,7,7,5,6,-2.413450224733859,-10.494410113763578
10,10,9,6,7,6,5,5,5,10,7,4,6,4,6,5,5,10,6,7,7,7,10,5,6,7,5,6,5,6,5,6,7,6,6,5,6,6,9,4,6,6,6,5,8,7,6,6,5,7,6,7,5,9,5,5,4,6,5,6,5,7,5,6,5,7,5,6,5,6,6,6,5,7,7,7,6,4,7,5,6,6,5,6,7,10,7,6,7,6,5,5,5,7,9,6,6,5,5,6,-2.089483370975892,-10.73060816129183
10,10,9,6,8,6,5,5,5,10,7,4,6,4,6,5,5,10,6,7,7,7,10,5,6,7,5,6,5,6,5,6,7,6,6,5,6,7,9,4,6,6,6,5,8,7,6,6,5,7,6,7,5,9,5,5,4,6,5,6,5,7,5,6,10,7,5,6,5,6,6,6,5,7,7,7,6,4,7,5,6,6,5,6,7,10,7,6,7,6,5,6,5,7,9,6,6,5,5,6,-1.8205811742755007,-11.17736826216209
10,10,9,6,7,6,5,5,5,10,7,4,6,4,6,5,5,10,5,7,7,7,10,5,6,7,5,6,5,6,5,6,7,6,6,5,6,6,9,4,6,6,6,5,8,7,6,6,5,7,6,7,5,9,5,5,4,6,5,6,5,7,5,6,5,7,5,9,5,6,6,6,5,7,7,7,6,4,7,5,6,9,5,6,7,10,7,6,7,6,5,6,5,7,9,6,6,5,5,6,-1.928688132425497,-10.822635039730496
10,10,9,6,8,6,5,5,5,10,7,7,6,4,6,5,5,10,6,7,7,7,10,5,6,7,5,6,5,6,5,6,7,6,6,5,6,6,9,4,6,6,6,5,8,7,6,6,5,7,6,7,5,9,5,5,4,6,5,6,5,7,5,6,10,7,5,6,5,6,6,6,5,7,7,7,6,4,7,5,6,6,5,6,7,10,7,6,7,6,5,6,5,7,9,6,6,5,5,6,-1.9013300330842755,-11.059666231899135
5,5,6,6,7,6,5,5,5,10,7,7,6,4,6,6,5,8,6,8,6,7,5,5,6,8,5,6,5,6,5,6,7,9,6,5,6,6,9,4,6,6,8,4,6,7,6,7,5,7,6,7,5,9,5,5,4,6,5,9,5,7,5,6,5,7,5,6,5,5,6,6,5,7,4,6,6,4,6,5,6,6,6,6,7,4,7,10,7,7,6,7,6,6,9,6,5,5,5,6,-4.263808529102007,-10.41723683333068
3,5,6,5,7,6,5,6,5,5,7,4,5,5,6,5,5,5,6,7,6,7,10,5,6,7,5,6,5,6,9,5,6,6,6,5,7,6,6,4,5,6,6,5,7,4,6,7,6,7,6,7,5,9,5,7,4,5,5,9,5,6,5,6,5,7,9,6,5,4,5,6,5,8,4,7,6,5,7,5,5,6,5,9,6,10,4,5,6,6,4,6,5,6,9,6,6,5,5,9,-5.340226875186945,-10.29595006667166
10,10,9,6,7,6,5,5,5,10,7,7,6,5,6,5,5,10,6,7,7,7,10,5,6,7,5,6,5,6,5,6,7,6,7,4,6,6,9,7,6,6,9,5,8,7,6,6,5,7,6,7,5,6,5,5,4,6,5,6,5,7,5,6,5,7,5,6,5,6,6,5,5,7,7,6,6,4,7,5,6,6,6,6,7,5,7,6,7,6,5,6,5,7,9,6,6,5,5,6,-2.0619700697103522,-10.794157576951077
10,10,9,6,7,6,5,5,5,10,7,4,6,4,6,5,5,10,6,7,7,7,10,5,6,7,5,6,5,6,5,6,7,6,6,5,6,6,9,4,6,6,9,5,8,7,6,6,5,7,6,7,5,9,5,5,4,6,5,6,5,7,5,6,5,7,6,6,5,6,6,6,5,7,7,7,6,4,7,5,6,6,5,6,7,10,7,6,7,6,5,6,5,7,9,6,6,5,5,6,-1.8966623864898922,-11.089687656891073
10,10,9,6,7,6,5,5,5,10,7,4,6,4,6,5,5,10,6,7,7,7,10,5,6,7,5,9,5,6,5,6,7,6,6,5,6,9,9,4,6,6,9,5,8,7,6,6,5,7,6,7,10,9,5,5,4,6,5,6,5,7,5,6,5,7,5,6,5,6,6,6,5,7,7,7,6,4,7,5,6,6,5,6,7,10,7,6,7,6,5,6,5,7,9,6,6,5,5,6,-2.0711962241406954,-10.760691164605284
