epsilon_progress,nfe
0,0
5,100
29,1194
48,2290
77,3386
106,4482
115,5482
118,6579
132,7673
136,8771
145,9865
153,10872
162,11924
169,12971
172,14016
181,15063
183,16107
183,17108
183,18140
186,19149
186,20177
187,21230
188,22274
189,23274
190,24304
190,25322
190,26347
190,27374
190,28403
190,29433
190,30455
190,31466
190,32480
190,33504
190,34522
191,35548
191,36550
191,37567
191,38573
191,39611
191,40623
191,41634
191,42646
191,43670
191,44698
191,45710
191,46735
191,47738
191,48750
191,49768
191,50782
191,51786
191,52819
191,53843
192,54845
193,55884
193,56910
193,57938
195,58939
195,59981
195,61010
195,62013
195,63034
195,64066
195,65066
196,66084
196,67111
197,68119
197,69120
198,70138
198,71141
198,72149
198,73154
199,74174
199,75197
199,76216
200,77236
200,78254
200,79256
202,80259
203,81272
203,82276
203,83302
203,84340
204,85394
204,86421
204,87428
204,88431
204,89454
204,90469
204,91504
204,92517
204,93519
204,94547
204,95558
204,96600
204,97641
204,98647
204,99675
204,100692
204,101723
204,102758
204,103783
204,104799
204,105808
204,106831
205,107875
205,108880
206,109925
206,110952
206,111979
206,113011
206,114045
206,115064
206,116072
206,117079
206,118099
206,119105
206,120145
206,121168
206,122185
206,123223
206,124261
206,125295
206,126326
206,127359
206,128385
206,129390
206,130402
206,131438
206,132466
206,133475
206,134490
206,135498
207,136520
207,137534
207,138536
207,139562
207,140575
207,141605
207,142649
207,143676
207,144695
207,145704
208,146722
208,147763
208,148788
208,149803
208,150816
208,151817
208,152838
208,153848
208,154856
208,155879
208,156879
208,157910
208,158950
209,159987
209,161015
209,162028
209,163068
209,164072
209,165109
209,166109
209,167132
209,168145
209,169163
209,170184
209,171223
209,172267
209,173270
209,174296
209,175306
209,176327
209,177346
209,178362
209,179369
209,180411
209,181451
209,182500
209,183516
209,184550
209,185554
209,186562
209,187597
209,188637
209,189668
209,190689
209,191702
209,192706
209,193739
209,194743
209,195795
209,196831
209,197875
209,198908
209,199941
