0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,avg upstream_flooding,avg water_demand
5,9,6,5,4,5,4,5,5,5,6,7,7,9,5,5,7,5,7,7,6,5,10,6,8,4,5,6,7,7,5,5,6,5,6,6,9,7,5,5,5,5,5,6,7,5,5,10,9,6,7,6,5,5,7,4,6,7,5,10,6,5,6,4,4,5,6,6,5,4,5,5,4,5,5,6,6,4,7,6,5,6,5,7,6,4,7,6,4,5,5,6,5,5,6,6,7,6,6,10,-3.1266685180755704,-9.512101699375437
6,5,6,5,7,5,4,5,5,5,6,7,6,5,6,5,7,5,5,7,9,5,9,6,9,5,5,5,7,6,6,5,6,4,6,6,5,5,5,5,5,5,4,5,4,5,5,6,9,6,4,6,5,6,6,7,7,6,6,5,5,5,6,5,4,5,6,5,5,5,5,5,6,5,5,6,6,4,6,7,5,8,6,4,6,4,4,7,5,5,5,5,7,6,5,4,7,6,6,6,-4.212168422709667,-9.309088765696025
6,5,6,5,4,5,4,5,5,5,6,7,6,10,5,5,4,5,7,6,9,5,9,6,9,4,5,5,7,6,5,5,7,4,6,6,9,4,5,5,5,5,4,6,4,4,5,6,6,7,7,6,5,6,6,4,7,6,4,9,4,7,6,5,5,5,6,5,5,4,5,5,5,5,5,6,6,7,7,7,5,6,5,7,6,4,4,6,5,5,5,5,5,5,6,7,5,7,6,5,-5.6864084735380365,-9.14359493619729
10,10,6,5,4,5,6,5,5,5,7,6,7,8,6,5,7,5,7,7,6,5,10,6,8,5,5,6,7,6,5,5,6,5,6,6,9,5,5,5,6,5,5,5,7,5,5,5,9,9,7,6,5,5,9,4,6,7,5,10,6,5,6,4,7,5,6,5,5,4,5,5,4,5,5,6,6,7,7,6,5,5,5,7,6,5,7,6,5,5,5,6,5,5,6,7,7,5,6,5,-1.9149758830114123,-9.597671061334834
5,5,6,5,4,5,6,5,5,5,6,6,7,8,6,5,7,5,7,6,6,5,10,6,9,4,5,5,7,7,5,5,6,4,6,6,9,4,5,5,6,5,4,6,7,5,5,5,6,6,7,6,5,5,8,4,6,7,5,10,5,5,6,4,5,5,6,5,5,4,5,5,4,5,5,6,6,7,7,6,5,5,5,7,6,5,7,6,5,5,4,6,5,5,6,7,6,6,6,5,-4.771434007307402,-9.212688693802152
10,10,9,5,7,6,5,5,5,5,7,6,6,7,6,5,7,5,7,6,6,5,9,5,8,5,5,5,7,6,5,5,6,5,6,6,5,5,5,5,5,6,5,5,7,5,5,6,9,9,7,6,5,5,7,7,7,7,6,6,9,5,6,5,7,5,6,10,5,7,5,5,5,5,5,6,7,7,6,7,5,5,5,7,6,6,4,7,5,5,6,6,6,6,6,7,7,5,7,6,-1.5245333120003122,-9.765331439168804
5,5,9,5,7,5,5,5,5,5,7,6,6,8,6,5,7,5,7,5,6,5,9,5,9,4,5,5,7,6,5,5,6,5,6,6,9,6,5,5,6,6,4,5,7,5,6,5,9,9,7,6,5,5,8,4,6,7,6,5,10,5,6,4,5,5,6,10,5,4,5,5,5,5,5,6,7,7,7,6,5,5,5,7,6,5,7,7,5,5,4,6,5,5,6,7,7,5,7,5,-3.3435941507361417,-9.480430382087103
10,10,9,5,7,6,5,5,5,5,7,6,6,7,6,5,7,5,7,10,6,5,9,5,8,5,5,5,7,6,5,5,6,5,6,6,9,6,5,5,5,6,5,5,7,5,6,6,9,9,7,6,5,5,7,7,7,7,6,6,9,5,6,5,7,5,6,10,5,6,6,5,5,5,5,6,7,7,6,6,5,5,5,7,6,5,4,7,5,5,6,6,6,6,6,7,7,5,7,6,-1.338637353019022,-10.388707063802572
10,10,9,5,7,6,5,5,5,5,7,6,6,7,6,5,7,5,7,6,6,5,9,5,8,5,5,5,7,6,5,5,6,5,7,6,9,5,5,5,5,5,5,5,7,5,6,5,9,9,6,6,5,6,7,7,7,7,6,6,9,5,6,5,7,5,6,10,5,7,6,5,5,5,5,5,6,7,6,5,5,6,5,7,6,5,7,7,5,5,6,6,6,6,6,7,7,5,7,6,-1.462125649680945,-9.888518902382774
5,5,9,5,4,6,5,5,5,5,6,6,7,8,6,5,7,5,7,9,6,5,10,6,5,5,5,5,7,7,5,5,6,5,6,6,9,6,5,5,5,6,5,5,7,5,5,5,9,9,7,6,5,5,7,4,6,7,6,5,6,5,6,4,7,5,6,5,5,4,5,5,5,5,5,6,6,7,6,6,5,5,5,7,6,5,4,6,5,5,7,6,5,6,6,7,7,5,7,6,-3.4240472940086035,-9.425471217018544
