epsilon_progress,nfe
0,0
9,100
41,1195
63,2293
97,3382
117,4480
133,5579
146,6671
161,7770
183,8867
200,9963
200,10967
204,12018
207,13043
209,14090
209,15104
211,16114
214,17160
220,18215
223,19263
228,20312
233,21356
244,22423
244,23465
244,24518
244,25596
244,26636
244,27703
244,28703
246,29724
246,30796
247,31864
248,32890
248,33961
249,34989
251,36033
251,37099
253,38122
254,39142
254,40151
254,41174
255,42189
255,43209
255,44232
257,45253
259,46327
260,47369
260,48440
260,49443
261,50456
261,51526
261,52597
261,53667
262,54681
263,55683
266,56755
267,57811
267,58887
267,59942
267,60969
268,62005
268,63036
268,64082
268,65140
268,66185
268,67225
268,68268
268,69339
268,70403
268,71472
269,72546
269,73602
269,74665
269,75714
269,76762
269,77804
269,78851
269,79900
269,80942
269,82008
269,83063
269,84108
270,85156
270,86203
270,87213
270,88283
270,89338
271,90387
271,91455
271,92514
271,93582
272,94595
274,95619
276,96631
278,97663
279,98724
280,99756
281,100774
283,101827
285,102829
285,103848
285,104893
285,105959
285,106989
285,108025
285,109089
286,110127
286,111151
287,112167
287,113196
287,114220
287,115235
287,116255
287,117273
289,118282
289,119295
289,120361
289,121420
289,122465
289,123496
291,124540
291,125593
294,126603
295,127664
295,128677
295,129718
296,130741
297,131795
297,132804
297,133856
297,134885
298,135922
298,136973
299,137986
299,139040
299,140109
299,141132
299,142134
300,143143
300,144171
300,145210
300,146231
300,147285
300,148324
300,149337
300,150340
300,151369
300,152421
301,153425
301,154477
301,155481
301,156505
301,157537
301,158549
301,159552
301,160603
301,161619
301,162625
301,163634
301,164636
301,165681
301,166727
301,167804
301,168844
301,169901
301,170964
301,171982
301,173025
301,174066
301,175113
302,176172
302,177241
302,178275
302,179306
302,180336
302,181410
302,182425
302,183500
302,184551
302,185590
302,186638
303,187713
303,188774
303,189849
303,190896
303,191908
305,192969
305,194030
305,195090
305,196160
305,197215
305,198228
305,199300
