0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,avg upstream_flooding,avg water_demand
10,6,5,5,6,5,5,5,4,6,7,7,4,9,3,6,5,5,5,5,9,5,5,7,6,6,5,4,7,4,6,7,5,6,5,6,4,6,6,4,9,5,5,9,5,4,5,7,7,5,5,5,5,7,6,5,7,5,3,6,4,4,5,6,9,4,9,7,8,4,7,6,7,6,7,5,10,3,5,6,7,6,7,7,6,4,6,4,4,7,3,5,6,9,7,10,5,4,7,4,-1.2749967171783443,-9.456062467075371
10,7,5,5,6,5,5,7,4,6,4,7,4,9,4,6,7,5,4,5,6,5,6,7,7,6,5,6,4,4,4,7,5,5,4,4,4,6,6,5,6,6,5,5,5,7,6,7,7,5,5,4,5,6,7,5,4,5,3,6,4,7,4,9,6,7,8,4,6,5,7,6,6,6,6,5,6,4,5,6,6,4,6,5,6,4,5,7,5,6,3,9,7,6,6,9,4,7,7,5,-1.0127851220737956,-9.537788404895453
10,10,6,5,6,5,6,5,4,6,7,7,4,9,4,5,5,4,5,5,7,5,4,4,6,6,4,4,6,7,6,7,6,6,5,5,4,7,5,4,6,5,6,9,5,7,6,7,4,5,6,4,5,6,6,5,7,5,3,6,7,7,6,9,5,7,6,4,6,4,5,9,5,6,7,4,10,4,5,5,5,6,5,7,6,4,6,6,5,6,4,5,6,7,6,6,5,5,7,5,-0.5627800289087923,-9.731138681331597
10,6,6,5,5,5,5,5,4,5,7,7,4,9,4,6,7,7,5,5,9,5,7,7,5,9,5,5,6,4,6,7,6,6,5,7,4,6,7,4,9,4,4,9,5,7,4,7,4,6,10,5,5,7,6,5,7,5,4,6,4,7,3,6,9,4,9,6,8,4,4,5,6,6,4,5,9,3,5,5,9,6,4,7,6,4,6,5,4,6,4,9,5,6,6,6,5,4,7,4,-1.1504795479272065,-9.481343021650508
10,7,5,5,5,5,5,5,4,5,4,7,4,9,5,5,4,6,5,6,6,5,4,7,7,6,5,5,6,4,6,7,5,6,10,5,4,6,6,5,6,5,5,4,5,7,4,4,4,6,10,5,5,6,6,4,7,5,3,6,4,7,7,6,5,4,9,4,4,5,7,5,5,6,4,5,9,3,5,5,6,6,7,4,7,4,7,7,4,6,3,10,5,6,5,9,5,6,7,4,-1.0692725694040528,-9.493925761576987
10,9,6,5,5,5,5,6,4,5,4,7,4,9,4,6,4,5,10,5,6,5,6,7,6,6,5,5,6,4,7,6,6,6,10,7,4,7,6,4,6,5,4,6,5,4,4,7,4,6,10,5,5,7,6,4,7,5,4,6,4,4,4,6,7,4,6,4,8,4,4,5,5,6,7,5,9,4,5,5,5,7,6,7,6,4,5,7,5,6,3,6,5,4,6,9,4,4,7,5,-0.6316413475771959,-9.687586128721726
10,7,6,5,5,5,5,4,4,5,7,7,4,9,4,6,4,6,5,5,9,4,4,7,6,9,5,5,6,4,6,6,6,6,6,7,4,6,6,5,6,5,5,5,5,7,6,7,7,5,10,5,4,7,6,5,7,5,4,6,4,7,4,9,9,4,9,6,9,4,4,5,5,6,4,5,9,3,5,6,6,5,4,7,6,4,6,6,4,6,4,9,5,6,6,6,4,4,7,6,-0.9129960548073135,-9.562516506880108
10,8,5,5,6,5,5,4,4,6,4,7,4,9,4,5,4,5,6,6,9,5,4,7,6,10,5,4,6,4,4,7,6,6,5,7,6,6,5,4,5,7,5,5,5,4,4,7,7,5,5,6,5,6,9,7,7,5,3,6,4,4,5,9,9,4,8,7,6,4,4,5,6,6,7,4,6,3,5,6,6,6,7,4,7,4,5,7,5,6,3,6,6,6,7,6,5,4,7,5,-0.8194066341542541,-9.606621512080459
10,6,5,5,5,5,5,6,4,5,7,7,4,9,4,6,5,6,6,5,9,5,6,4,6,9,5,4,6,4,6,6,5,6,5,5,7,7,6,4,5,7,5,5,5,4,7,7,7,5,5,5,5,7,6,5,7,5,3,6,4,4,5,6,9,4,8,4,6,4,4,6,6,6,4,4,8,3,5,6,4,7,7,4,7,4,6,7,4,6,3,10,6,6,7,6,6,4,7,4,-1.3689181831211772,-9.418706093771405
10,9,5,5,5,5,5,5,4,5,4,7,4,9,4,6,4,6,10,5,6,5,6,4,6,6,5,5,6,4,5,7,6,6,10,7,4,7,6,4,6,5,4,6,5,4,5,7,7,6,5,5,6,6,6,4,7,5,3,6,7,4,7,6,8,5,6,4,8,4,5,10,6,6,7,4,9,3,5,6,5,7,4,7,6,4,5,6,5,7,3,6,5,4,6,9,4,4,7,5,-0.6881287949074536,-9.643723485403262
