epsilon_progress,nfe
0,0
12,100
46,1100
89,2100
155,3100
280,4100
382,5100
543,6100
686,7100
827,8100
963,9100
1079,10160
1116,11230
1172,12300
1230,13370
1306,14440
1379,15510
1473,16580
1541,17650
1611,18720
1687,19790
1761,20860
1845,21930
1918,23000
1986,24070
2049,25140
2109,26210
2180,27280
2250,28350
2308,29420
2362,30490
2432,31560
2446,32698
2489,33940
2535,35182
2579,36424
2622,37666
2668,38908
2713,40150
2739,41392
2786,42634
2822,43876
2865,45118
2914,46360
2948,47602
2997,48844
3036,50086
3084,51328
3127,52570
3168,53812
3207,55054
3231,56296
3252,57538
3300,58780
3329,60022
3375,61264
3408,62506
3439,63748
3476,64990
3508,66232
3541,67474
3576,68716
3607,69958
3628,71200
3663,72442
3696,73684
3723,74926
3760,76168
3784,77410
3804,78652
3832,79894
3859,81136
3894,82378
3927,83620
3962,84862
3985,86104
4007,87346
4033,88588
4079,89830
4115,91072
4151,92314
4188,93556
4229,94798
4273,96040
4315,97282
4356,98524
4395,99766
4429,101008
4458,102250
4493,103492
4534,104734
4570,105976
4610,107218
4651,108460
4694,109702
4730,110944
4781,112186
4818,113428
4857,114670
4863,115846
4876,117190
4902,118534
4926,119878
4957,121222
4981,122566
5012,123910
5037,125254
5068,126598
5093,127942
5123,129286
5150,130630
5169,131974
5202,133318
5229,134662
5254,136006
5276,137350
5303,138694
5326,140038
5352,141382
5376,142726
5407,144070
5431,145414
5456,146758
5472,148102
5490,149446
5514,150790
5540,152134
5565,153478
5589,154822
5616,156166
5642,157510
5667,158854
5689,160198
5700,161542
5711,162886
5733,164230
5746,165574
5770,166918
5794,168262
5817,169606
5836,170950
5850,172294
5869,173638
5887,174982
5904,176326
5924,177670
5936,179014
5961,180358
5981,181702
6001,183046
6016,184390
6033,185734
6050,187078
6066,188422
6085,189766
6104,191110
6124,192454
6140,193798
6154,195142
6168,196486
6191,197830
6204,199174
6217,200518
6229,201862
6249,203206
6271,204550
6282,205894
6304,207238
6326,208582
6335,209926
6348,211270
6364,212614
6381,213958
6394,215302
6408,216646
6424,217990
6434,219334
6451,220678
6468,222022
6484,223366
6495,224710
6514,226054
6529,227398
6541,228742
6552,230086
6575,231430
6594,232774
6604,234118
6615,235462
6629,236806
6640,238150
6655,239494
6663,240838
6674,242182
6685,243526
6704,244870
6716,246214
6733,247558
6742,248902
6755,250246
6775,251590
6785,252934
6797,254278
6803,255622
6818,256966
6829,258310
6840,259654
6852,260998
6863,262342
6871,263686
6885,265030
6896,266374
6909,267718
6920,269062
6932,270406
6941,271750
6958,273094
6975,274438
6982,275782
6996,277126
7007,278470
7018,279814
7026,281158
7041,282502
7051,283846
7062,285190
7073,286534
7083,287878
7098,289222
7113,290566
7123,291910
7132,293254
7143,294598
7151,295942
7163,297286
7177,298630
7194,299974
7203,301318
7209,302662
7219,304006
7232,305350
7245,306694
7265,308038
7283,309382
7296,310726
7312,312070
7323,313414
7334,314758
7349,316102
7367,317446
7376,318790
7389,320134
7405,321478
7420,322822
7437,324166
7452,325510
7470,326854
7482,328198
7490,329542
7502,330886
7510,332230
7520,333574
7533,334918
7539,336262
7546,337606
7562,338950
7573,340294
7589,341638
7592,342982
7608,344326
7618,345670
7625,347014
7637,348358
7645,349702
7659,351046
7668,352390
7677,353734
7690,355078
7703,356422
7714,357766
7726,359110
7736,360454
7744,361798
7757,363142
7766,364486
7779,365830
7786,367174
7803,368518
7812,369862
7821,371206
7834,372550
7844,373894
7853,375238
7866,376582
7885,377926
7896,379270
7907,380614
7918,381958
7928,383302
7941,384646
7958,385990
7980,387334
7994,388678
8006,390022
8021,391366
8034,392710
8046,394054
8062,395398
8079,396742
8098,398086
8114,399430
8127,400774
8143,402118
8153,403462
8170,404806
8185,406150
8195,407494
8209,408838
8224,410182
8236,411526
8244,412870
8253,414214
8262,415558
8273,416902
8282,418246
8298,419590
8316,420934
8329,422278
8342,423622
8356,424966
8368,426310
8384,427654
8391,428998
8407,430342
8415,431686
8430,433030
8446,434374
8461,435718
8473,437062
8480,438406
8489,439750
8501,441094
8514,442438
8522,443782
8534,445126
8543,446470
8553,447814
8567,449158
8574,450502
8585,451846
8598,453190
8608,454534
8622,455878
8633,457222
8639,458566
8655,459910
8669,461254
8678,462598
8687,463942
8699,465286
8711,466630
8730,467974
8740,469318
8750,470662
8758,472006
8771,473350
8779,474694
8793,476038
8805,477382
8812,478726
8826,480070
8833,481414
8846,482758
8858,484102
8868,485446
8875,486790
8882,488134
8900,489478
8909,490822
8915,492166
8924,493510
8937,494854
8950,496198
8958,497542
8970,498886
8986,500230
9003,501574
9011,502918
9027,504262
9040,505606
9057,506950
9073,508294
9084,509638
9095,510982
9112,512326
9123,513670
9132,515014
9149,516358
9162,517702
9170,519046
9179,520390
9189,521734
9194,523078
9204,524422
9215,525766
9225,527110
9239,528454
9252,529798
9260,531142
9269,532486
9281,533830
9287,535174
9301,536518
9316,537862
9333,539206
9340,540550
9351,541894
9363,543238
9374,544582
9387,545926
9404,547270
9411,548614
9420,549958
9431,551302
9439,552646
9451,553990
9458,555334
9464,556678
9476,558022
9486,559366
9501,560710
9512,562054
9516,563398
9522,564742
9531,566086
9543,567430
9552,568774
9561,570118
9573,571462
9590,572806
9598,574150
9606,575494
9617,576838
9624,578182
9631,579526
9641,580870
9650,582214
9656,583558
9661,584902
9664,586264
9670,588104
9677,589944
9679,591784
9689,593624
9696,595464
9708,597304
9718,599144
9737,600984
9748,602824
9757,604664
9771,606504
9787,608344
9797,610184
9814,612024
9822,613864
9828,615704
9841,617544
9857,619384
9877,621224
9886,623064
9902,624904
9914,626744
9935,628584
9948,630424
9961,632264
9970,634104
9987,635944
10002,637784
10033,639624
10048,641464
10062,643304
10072,645144
10086,646984
10095,648824
10107,650664
10121,652504
10134,654344
10141,656184
10152,658024
10168,659864
10174,661704
10182,663544
10196,665384
10216,667224
10233,669064
10241,670904
10249,672744
10257,674584
10262,676424
10271,678264
10282,680104
10299,681944
10301,683784
10311,685624
10326,687464
10333,689304
10341,691144
10351,692984
10365,694824
10374,696664
10386,698504
10393,700344
10408,702184
10421,704024
10435,705864
10443,707704
10455,709544
10465,711384
10476,713224
10486,715064
10491,716904
10499,718744
10512,720584
10520,722424
10528,724264
10539,726104
10548,727944
10556,729784
10566,731624
10571,733464
10581,735304
10594,737144
10603,738984
10609,740824
10623,742664
10639,744504
10649,746344
10658,748184
10672,750024
10679,751864
10687,753704
10696,755544
10699,757384
10710,759224
10724,761064
10735,762904
10749,764744
10753,766584
10762,768424
10774,770264
10783,772104
10789,773944
10797,775784
10807,777624
10821,779464
10831,781304
10836,783144
10848,784984
10857,786824
10865,788664
10870,790504
10878,792344
10888,794184
10897,796024
10911,797864
10918,799704
10925,801544
10936,803384
10945,805224
10950,807064
10960,808904
10969,810744
10983,812584
10989,814424
10998,816264
11010,818104
11017,819944
11024,821784
11028,823624
11041,825464
11048,827304
11056,829144
11064,830984
11072,832824
11083,834664
11092,836504
11097,838344
11104,840184
11114,842024
11128,843864
11133,845704
11141,847544
11150,849384
11154,851224
11158,853064
11165,854904
11173,856744
11186,858584
11198,860424
11205,862264
11211,864104
11220,865944
11226,867784
11234,869624
11240,871464
11246,873304
11250,875144
11257,876984
11269,878824
11275,880664
11286,882504
11297,884344
11312,886184
11323,888024
11337,889864
11349,891704
11358,893544
11365,895384
11381,897224
11391,899064
11403,900904
11410,902744
11419,904584
11426,906424
11435,908264
11445,910104
11455,911944
11460,913784
11474,915624
11481,917464
11488,919304
11496,921144
11505,922984
11514,924824
11523,926664
11532,928504
11537,930344
11552,932184
11567,934024
11579,935864
11596,937704
11607,939544
11617,941384
11627,943224
11636,945064
11649,946904
11659,948744
11673,950584
11679,952424
11690,954264
11700,956104
11710,957944
11720,959784
11726,961624
11731,963464
11742,965304
11753,967144
11761,968984
11769,970824
11775,972664
11784,974504
11794,976344
11799,978184
11810,980024
11818,981864
11831,983704
11835,985544
11843,987384
11857,989224
11865,991064
11874,992904
11879,994744
11883,996584
11890,998424
11898,1000264
11906,1002104
11916,1003944
11923,1005784
11929,1007624
11942,1009464
11955,1011304
11964,1013144
11969,1014984
11977,1016824
11984,1018664
11997,1020504
12010,1022344
12016,1024184
12028,1026024
12040,1027864
12048,1029704
12052,1031544
12062,1033384
12067,1035224
12079,1037064
12093,1038904
12101,1040744
12110,1042584
12120,1044424
12128,1046264
12136,1048104
12143,1049944
12149,1051784
12159,1053624
12161,1055464
12168,1057304
12175,1059144
12186,1060984
12199,1062824
12205,1064664
12216,1066504
12224,1068344
12230,1070184
12233,1072024
12240,1073864
12251,1075704
12261,1077544
12268,1079384
12275,1081224
12282,1083064
12294,1084904
12301,1086744
12308,1088584
12318,1090424
12325,1092264
12331,1094104
12338,1095944
12351,1097784
12363,1099624
12375,1101464
12381,1103304
12390,1105144
12401,1106984
12405,1108824
12413,1110664
12420,1112504
12425,1114344
12430,1116184
12444,1118024
12454,1119864
12458,1121704
12469,1123544
12474,1125384
12483,1127224
12494,1129064
12501,1130904
12509,1132744
12521,1134584
12533,1136424
12540,1138264
12548,1140104
12552,1141944
12560,1143784
12572,1145624
12582,1147464
12588,1149304
12597,1151144
12606,1152984
12615,1154824
12621,1156664
12629,1158504
12635,1160344
12642,1162184
12651,1164024
12658,1165864
12673,1167704
12682,1169544
12687,1171384
12691,1173224
12698,1175064
12704,1176904
12711,1178744
12718,1180584
12726,1182424
12741,1184264
12751,1186104
12756,1187944
12761,1189784
12774,1191624
12779,1193464
12784,1195304
12797,1197144
12808,1198984
12814,1200824
12820,1202664
12831,1204504
12841,1206344
12850,1208184
12860,1210024
12865,1211864
12873,1213704
12879,1215544
12882,1217384
12890,1219224
12895,1221064
12901,1222904
12905,1224744
12909,1226584
12919,1228424
12925,1230264
12929,1232104
12937,1233944
12943,1235784
12949,1237624
12955,1239464
12962,1241304
12968,1243144
12976,1244984
12981,1246824
12989,1248664
13000,1250504
13009,1252344
13022,1254184
13032,1256024
13042,1257864
13047,1259704
13059,1261544
13069,1263384
13079,1265224
13088,1267064
13098,1268904
13107,1270744
13114,1272584
13124,1274424
13136,1276264
13145,1278104
13152,1279944
13160,1281784
13171,1283624
13174,1285464
13182,1287304
13187,1289144
13196,1290984
13202,1292824
13213,1294664
13225,1296504
13232,1298344
13236,1300184
13241,1302024
13255,1303864
13263,1305704
13280,1307544
13284,1309384
13289,1311224
13300,1313064
13303,1314904
13312,1316744
13312,1318584
13319,1320424
13333,1322264
13339,1324104
13343,1325944
13349,1327784
13358,1329624
13362,1331464
13365,1333304
13370,1335144
13379,1336984
13389,1338824
13397,1340664
13401,1342504
13406,1344344
13412,1346184
13418,1348024
13422,1349864
13424,1351704
13426,1353544
13431,1355384
13431,1357224
13438,1359064
13448,1360904
13456,1362744
13463,1364584
13474,1366424
13480,1368264
13484,1370104
13490,1371944
13497,1373784
13503,1375624
13511,1377464
13520,1379304
13523,1381144
13533,1382984
13543,1384824
13549,1386664
13556,1388504
13563,1390344
13566,1392184
13572,1394024
13580,1395864
13583,1397704
13590,1399544
13594,1401384
13599,1403224
13603,1405064
13611,1406904
13617,1408744
13626,1410584
13633,1412424
13638,1414264
13644,1416104
13647,1417944
13652,1419784
13661,1421624
13666,1423464
13668,1425304
13674,1427144
13679,1428984
13683,1430824
13691,1432664
13698,1434504
13708,1436344
13719,1438184
13723,1440024
13730,1441864
13738,1443704
13745,1445544
13753,1447384
13761,1449224
13764,1451064
13774,1452904
13780,1454744
13789,1456584
13797,1458424
13799,1460264
13803,1462104
13807,1463944
13817,1465784
13824,1467624
13831,1469464
13835,1471304
13841,1473144
13848,1474984
13850,1476824
13855,1478664
13858,1480504
13862,1482344
13869,1484184
13872,1486024
13880,1487864
13889,1489704
13896,1491544
13900,1493384
13910,1495224
13917,1497064
13930,1498904
13936,1500744
13941,1502584
13946,1504424
13952,1506264
13952,1507916
13955,1509804
13957,1511692
13961,1513580
13967,1515468
13967,1517356
13969,1519244
13973,1521132
13978,1523020
13985,1524908
13991,1526796
13995,1528684
14001,1530572
14003,1532460
14007,1534348
14013,1536236
14023,1538124
14030,1540012
14035,1541900
14038,1543788
14044,1545676
14056,1547564
14064,1549452
14077,1551340
14086,1553228
14094,1555116
14098,1557004
14104,1558892
14113,1560780
14116,1562668
14125,1564556
14131,1566444
14135,1568332
14148,1570220
14155,1572108
14169,1573996
14181,1575884
14193,1577772
14201,1579660
14206,1581548
14211,1583436
14219,1585324
14227,1587212
14231,1589100
14239,1590988
14246,1592876
14259,1594764
14271,1596652
14280,1598540
14287,1600428
14295,1602316
14305,1604204
14311,1606092
14322,1607980
14326,1609868
14335,1611756
14340,1613644
14358,1615532
14368,1617420
14376,1619308
14387,1621196
14400,1623084
14404,1624972
14413,1626860
14420,1628748
14433,1630636
14444,1632524
14450,1634412
14462,1636300
14471,1638188
14477,1640076
14492,1641964
14501,1643852
14509,1645740
14514,1647628
14521,1649516
14526,1651404
14537,1653292
14544,1655180
14549,1657068
14557,1658956
14567,1660844
14578,1662732
14584,1664620
14592,1666508
14604,1668396
14608,1670284
14614,1672172
14623,1674060
14631,1675948
14640,1677836
14646,1679724
14652,1681612
14659,1683500
14664,1685388
14674,1687276
14685,1689164
14688,1691052
14698,1692940
14711,1694828
14725,1696716
14732,1698604
14746,1700492
14754,1702380
