epsilon_progress,nfe
0,0
32,100
148,1100
340,2100
612,3100
888,4100
1123,5100
1368,6100
1600,7100
1817,8100
2057,9100
2286,10312
2410,11560
2596,12808
2752,14056
2926,15304
3092,16552
3269,17800
3461,19048
3662,20296
3870,21544
4087,22792
4284,24040
4474,25288
4653,26536
4835,27784
5010,29032
5193,30280
5361,31528
5543,32776
5721,34024
5895,35272
6072,36520
6234,37768
6409,39016
6569,40264
6718,41512
6855,42760
7003,44008
7132,45256
7269,46504
7420,47752
7553,49000
7696,50248
7821,51496
7869,54352
7997,57606
8200,60860
8383,64114
8577,67368
8779,70622
8971,73876
9146,77130
9364,80384
9563,83638
9767,86892
9974,90146
10178,93400
10369,96654
10586,99908
10802,103162
11014,106416
11263,109670
11477,112924
11707,116178
11957,119432
12176,122686
12409,125940
12626,129194
12862,132448
13079,135702
13319,138956
13536,142210
13796,145464
14033,148718
14280,151972
14532,155226
14780,158480
15012,161734
15240,164988
15494,168242
15720,171496
15962,174750
16205,178004
16445,181258
16699,184512
16968,187766
17213,191020
17454,194274
17670,197528
17881,200782
18088,204036
18317,207290
18528,210544
18767,213798
18994,217052
19224,220306
19430,223560
19620,226814
19842,230068
20047,233322
20266,236576
20459,239830
20657,243084
20857,246338
21052,249592
21257,252846
21447,256100
21626,259354
21810,262608
21990,265862
22160,269116
22345,272370
22554,275624
22755,278878
22935,282132
23114,285386
23274,288640
23428,291894
23620,295148
23782,298402
23951,301656
24099,304910
24252,308164
24434,311418
24598,314672
24761,317926
24923,321180
25084,324434
25240,327688
25391,330942
25525,334196
25689,337450
25834,340704
25994,343958
26144,347212
26277,350466
26398,353720
26545,356974
26689,360228
26858,363482
27022,366736
27179,369990
27306,373244
27444,376498
27586,379752
27730,383006
27894,386260
28028,389514
28195,392768
28328,396022
28456,399276
28616,402530
28759,405784
28898,409038
29043,412292
29160,415546
29297,418800
29425,422054
29545,425308
29679,428562
29817,431816
29946,435070
30088,438324
30215,441578
30361,444832
30483,448086
30600,451340
30746,454594
30873,457848
31007,461102
31133,464356
31261,467610
31404,470864
31520,474118
31640,477372
31781,480626
31920,483880
32056,487134
32196,490388
32320,493642
32452,496896
32567,500150
32677,503404
32799,506658
32945,509912
33082,513166
33213,516420
33341,519674
33441,522928
33558,526182
33695,529436
33818,532690
33969,535944
34102,539198
34234,542452
34359,545706
34484,548960
34635,552214
34758,555468
34863,558722
34972,561976
35101,565230
35226,568484
35363,571738
35477,574992
35595,578246
35704,581500
35835,584754
35957,588008
36083,591262
36186,594516
36294,597770
36396,601024
36507,604278
36612,607532
36729,610786
36847,614040
36949,617294
37075,620548
37210,623802
37332,627056
37451,630310
37564,633564
37700,636818
37824,640072
37932,643326
38046,646580
38157,649834
38274,653088
38401,656342
38525,659596
38637,662850
38752,666104
38868,669358
38991,672612
39120,675866
39257,679120
39383,682374
39509,685628
39634,688882
39748,692136
39851,695390
39984,698644
40101,701898
40215,705152
40326,708406
40431,711660
40540,714914
40662,718168
40783,721422
40894,724676
41009,727930
41127,731184
41233,734438
41346,737692
41449,740946
41566,744200
41678,747454
41784,750708
41874,753962
41985,757216
42105,760470
42234,763724
42348,766978
42451,770232
42586,773486
42694,776740
42790,779994
42903,783248
43016,786502
43108,789756
43211,793010
43316,796264
43424,799518
43534,802772
43648,806026
43746,809280
43854,812534
43956,815788
44067,819042
44185,822296
44300,825550
44401,828804
44494,832058
44605,835312
44719,838566
44813,841820
44922,845074
45049,848328
45163,851582
45268,854836
45389,858090
45495,861344
45605,864598
45692,867852
45793,871106
45925,874360
46025,877614
46135,880868
46230,884122
46342,887376
46436,890630
46534,893884
46626,897138
46740,900392
46851,903646
46961,906900
47066,910154
47156,913408
47267,916662
47368,919916
47472,923170
47564,926424
47669,929678
47776,932932
47871,936186
47973,939440
48072,942694
48188,945948
48279,949202
48369,952456
48473,955710
48590,958964
48692,962218
48791,965472
48908,968726
48998,971980
49091,975234
49208,978488
49304,981742
49412,984996
49508,988250
49606,991504
49733,994758
49818,998012
49919,1001266
50038,1004520
50154,1007774
50246,1011028
50345,1014282
50444,1017536
50543,1020790
50644,1024044
50742,1027298
50823,1030552
50940,1033806
51052,1037060
51156,1040314
51256,1043568
51367,1046822
51456,1050076
51551,1053330
51639,1056584
51735,1059838
51831,1063092
51942,1066346
52041,1069600
52134,1072854
52218,1076108
52311,1079362
52423,1082616
52515,1085870
52603,1089124
52700,1092378
52802,1095632
52899,1098886
53005,1102140
53086,1105394
53179,1108648
53272,1111902
53372,1115156
53478,1118410
53576,1121664
53662,1124918
53764,1128172
53853,1131426
53954,1134680
54049,1137934
54145,1141188
54243,1144442
54329,1147696
54418,1150950
54519,1154204
54626,1157458
54719,1160712
54832,1163966
54950,1167220
55050,1170474
55158,1173728
55239,1176982
55341,1180236
55440,1183490
55548,1186744
55648,1189998
55718,1193252
55810,1196506
55914,1199760
56006,1203014
56101,1206268
56224,1209522
56314,1212776
56427,1216030
56524,1219284
56586,1222538
56679,1225792
56786,1229046
56884,1232300
56978,1235554
57063,1238808
57157,1242062
57249,1245316
57335,1248570
57430,1251824
57532,1255078
57643,1258332
57742,1261586
57823,1264840
57907,1268094
58004,1271348
58095,1274602
58180,1277856
58285,1281110
58377,1284364
58466,1287618
58558,1290872
58648,1294126
58734,1297380
58838,1300634
58927,1303888
59026,1307142
59113,1310396
59212,1313650
59285,1316904
