epsilon_progress,nfe
0,0
18,100
67,1192
110,2290
158,3386
206,4481
248,5577
297,6672
345,7761
392,8856
431,9948
468,11044
508,12140
544,13238
587,14334
623,15431
655,16431
701,17522
750,18620
795,19717
808,20776
827,21823
860,22870
892,23913
922,24962
953,26008
975,27056
998,28105
1021,29154
1045,30202
1072,31251
1088,32294
1108,33344
1127,34391
1152,35440
1169,36485
1187,37535
1208,38583
1226,39626
1243,40672
1262,41714
1273,42756
1289,43802
1310,44850
1326,45897
1342,46944
1356,47988
1370,49030
1386,50079
1401,51128
1412,52176
1421,53224
1436,54272
1446,55322
1455,56372
1466,57421
1475,58466
1492,59515
1500,60561
1510,61606
1522,62652
1538,63702
1553,64746
1571,65793
1586,66841
1595,67888
1610,68936
1625,69982
1639,71032
1655,72078
1669,73124
1674,74172
1685,75220
1703,76265
1712,77312
1722,78361
1726,79407
1739,80455
1754,81502
1762,82552
1774,83598
1787,84646
1793,85696
1802,86744
1814,87791
1822,88838
1832,89888
1837,90937
1846,91987
1857,93032
1870,94071
1878,95167
1881,96362
1885,97561
1894,98758
1903,99957
1912,101156
1925,102354
1935,103551
1944,104748
1954,105947
1959,107144
1973,108144
1979,109144
1989,110341
1994,111540
2008,112734
2020,113932
2027,115126
2032,116320
2037,117320
2045,118516
2051,119711
2065,120904
2079,122101
2090,123297
2103,124492
2116,125688
2126,126886
2131,128083
2143,129281
2154,130281
2158,131479
2166,132672
2173,133867
2180,135062
2187,136062
2193,137260
2198,138454
2202,139652
2207,140845
2218,142043
2225,143240
2232,144437
2237,145633
2243,146830
2255,148026
2263,149222
2274,150421
2280,151616
2289,152815
2301,154014
2308,155213
2314,156412
2320,157610
2328,158806
2335,159998
2347,161196
2354,162196
2359,163196
2370,164393
2375,165588
2382,166787
2388,167787
2396,168985
2399,170181
2412,171380
2421,172577
2423,173774
2431,174973
2443,176169
2459,177367
2473,178565
2479,179763
2485,180959
2494,181959
2501,183156
2507,184355
2518,185548
2522,186746
2523,187944
2530,189142
2539,190335
2544,191527
2551,192718
2557,193916
2561,195111
2566,196306
2574,197501
2581,198698
2588,199891
2594,200891
2599,202088
2601,203284
2606,204478
2611,205676
2616,206874
2623,207874
2625,209071
2629,210268
2635,211466
2640,212664
2645,213860
2648,215058
2660,216249
2665,217444
2671,218643
2674,219839
2676,221029
2680,222226
2689,223422
2694,224422
2701,225616
2706,226810
2709,227810
2710,228810
2714,229810
2716,231009
2721,232009
2727,233207
2728,234406
2733,235604
2737,236798
2741,237995
2742,239192
2748,240387
2757,241581
2763,242779
2766,243972
2775,245169
2781,246365
2784,247562
2792,248759
2799,249957
2799,251153
2806,252350
2813,253546
2820,254546
2824,255742
2828,256940
2834,258136
2839,259333
2842,260527
2851,261725
2854,262923
2858,264116
2861,265116
2865,266116
2871,267312
2879,268499
2886,269694
2892,270891
2896,272087
2899,273283
2902,274478
2907,275675
2912,276868
2914,278065
2917,279261
2923,280460
2927,281659
2932,282855
2936,284049
2940,285244
2944,286244
2953,287440
2958,288631
2962,289631
2964,290822
2968,292018
2973,293214
2981,294408
2982,295541
2983,296738
2984,297936
2985,299136
2987,300335
2990,301535
2991,302734
2997,303934
3002,305132
3005,306332
3009,307528
3016,308726
3021,309924
3025,311122
3028,312321
3037,313520
3042,314719
3045,315918
3047,317115
3049,318315
3050,319515
3061,320713
3064,321913
3070,323112
3075,324310
3077,325509
3080,326708
3084,327905
3085,329100
3089,330299
3091,331494
3095,332691
3097,333889
3100,335089
3103,336284
3107,337481
3111,338680
3117,339877
3119,341075
3123,342275
3123,343472
3131,344672
3137,345870
3140,347066
3150,348264
3155,349463
3157,350662
3160,351859
3162,353056
3164,354255
3173,355455
3177,356653
3178,357850
3181,359050
3187,360248
3189,361446
3191,362643
