epsilon_progress,nfe
0,0
19,100
64,1196
108,2294
146,3392
189,4483
245,5580
293,6679
337,7679
375,8775
422,9775
472,10871
515,11966
552,13061
591,14158
622,15257
651,16352
687,17450
726,18546
752,19639
763,20752
787,21883
817,23017
844,24153
879,25285
913,26420
945,27555
962,28685
984,29818
1003,30947
1032,32081
1060,33214
1080,34345
1100,35479
1120,36614
1141,37746
1167,38882
1192,40014
1215,41148
1242,42280
1258,43412
1279,44544
1307,45677
1323,46809
1347,47938
1366,49070
1385,50203
1405,51339
1418,52471
1445,53603
1465,54738
1480,55873
1502,57009
1527,58137
1540,59269
1559,60401
1575,61536
1596,62666
1611,63798
1634,64931
1651,66061
1658,67197
1675,68331
1684,69463
1699,70592
1710,71725
1719,72857
1729,73991
1742,75122
1753,76257
1763,77390
1774,78524
1788,79659
1798,80795
1807,81931
1814,83064
1824,84197
1832,85333
1843,86463
1855,87597
1867,88728
1874,89860
1880,90996
1880,92182
1882,93369
1887,94555
1894,95742
1901,96925
1913,98111
1921,99294
1933,100482
1940,101665
1954,102853
1959,104038
1967,105226
1971,106413
1982,107598
1989,108782
2000,109969
2008,111156
2017,112340
2022,113528
2030,114711
2039,115893
2047,117079
2050,118263
2056,119451
2066,120637
2072,121824
2083,123012
2094,124200
2099,125388
2107,126574
2112,127761
2124,128949
2130,130133
2135,131317
2143,132503
2150,133688
2154,134874
2161,136058
2167,137243
2175,138430
2185,139617
2194,140802
2199,141988
2209,143176
2214,144360
2219,145546
2226,146733
2233,147915
2238,149099
2247,150285
2254,151470
2260,152656
2271,153842
2280,155027
2284,156211
2288,157395
2289,158578
2294,159762
2303,160947
2308,162134
2315,163319
2324,164496
2332,165678
2339,166857
2346,168044
2356,169232
2362,170410
2364,171593
2370,172778
2373,173961
2377,175148
2385,176333
2389,177518
2394,178703
2400,179888
2405,181072
2411,182255
2417,183441
2421,184626
2426,185813
2434,187000
2441,188187
2450,189374
2458,190557
2466,191742
2471,192929
2480,194114
2482,195298
2487,196481
2493,197666
2501,198848
2508,200034
2513,201221
2518,202409
2521,203596
2523,204779
2528,205965
2535,207150
2540,208337
2543,209521
2550,210708
2554,211890
2561,213074
2570,214258
2577,215443
2577,216629
2582,217814
2587,219002
2597,220186
2601,221373
2609,222560
2616,223748
2620,224933
2625,226118
2628,227304
2632,228490
2641,229675
2645,230862
2650,232049
2654,233232
2662,234420
2664,235608
2670,236796
2675,237983
2677,239167
2679,240355
2681,241539
2684,242724
2689,243904
2693,245086
2700,246270
2706,247456
2712,248637
2717,249825
2721,251010
2728,252193
2733,253376
2736,254563
2743,255748
2748,256936
2753,258119
2755,259305
2760,260486
2765,261669
2767,262851
2770,264037
2774,265219
2777,266403
2780,267591
2784,268776
2788,269960
2796,271143
2801,272326
2808,273504
2813,274685
2817,275863
2820,277037
2821,278218
2822,279402
2826,280582
2832,281769
2833,282953
2837,284136
2841,285320
2847,286504
2847,287684
2851,288887
2851,290076
2853,291261
2854,292450
2856,293638
2862,294827
2866,296012
2869,297195
2875,298385
2880,299575
2881,300763
2884,301950
2890,303140
2891,304329
2895,305517
2901,306706
2906,307893
2915,309083
2921,310271
2924,311458
2929,312644
2935,313833
2937,315022
2942,316205
2945,317395
2950,318578
2951,319766
2953,320955
2957,322143
2964,323331
2972,324519
2973,325699
2975,326886
2978,328073
2981,329260
2984,330449
2988,331636
2992,332825
2994,334013
3000,335198
3003,336387
3005,337575
3008,338761
3009,339951
3014,341137
3015,342324
3019,343512
3022,344699
3025,345887
3031,347074
3037,348261
3042,349447
3043,350630
3049,351816
3052,353003
3058,354192
3060,355381
3062,356567
3063,357757
3065,358945
3067,360131
3072,361314
3078,362501
3082,363691
3084,364877
3086,366059
3086,367245
3092,368434
3098,369620
3102,370807
3105,371996
3107,373181
3109,374365
3111,375549
3116,376738
3119,377924
3122,379110
3129,380298
3133,381485
3135,382669
3140,383854
3143,385039
3145,386227
3146,387406
3147,388590
3151,389776
3153,390963
3155,392144
3156,393323
3158,394505
3159,395683
3163,396864
3165,398053
3168,399238
3171,400424
3172,401611
3174,402791
3178,403973
3182,405154
3186,406340
3190,407526
3191,408714
3193,409904
3194,411094
3200,412282
3203,413471
3205,414659
3207,415848
3208,417037
3211,418218
3214,419405
3215,420593
3221,421777
3221,422962
3224,424146
3224,425333
3227,426520
3230,427709
3234,428898
3238,430087
3239,431276
3242,432460
3244,433645
3246,434832
3252,436020
3258,437202
3260,438387
3263,439573
3267,440760
3269,441944
3273,443131
3278,444311
3281,445494
3282,446678
3286,447855
3288,449034
3292,450221
3292,451411
3295,452600
3296,453785
3300,454968
3304,456150
3308,457328
3313,458505
3315,459687
3316,460860
3320,462039
3322,463207
3326,464394
3327,465577
3329,466761
