0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,utility,reliability
10,10,5,4,3,4,1,3,3,4,0,4,2,3,4,4,2,0,3,4,2,2,3,2,3,3,2,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.1756006863660664,0.31313131313131326
10,10,5,4,3,5,1,3,2,4,0,5,2,3,1,2,5,0,2,5,2,2,3,3,3,3,2,5,0,2,1,5,1,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.0790623226446658,0.3737373737373739
10,10,5,4,3,5,1,2,2,4,1,5,2,3,0,3,5,0,2,4,2,2,6,3,3,3,0,3,1,2,6,2,1,2,5,2,1,3,2,5,2,2,2,4,2,5,1,3,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,0.8818767788217,0.5252525252525254
10,10,5,4,3,5,1,3,3,4,0,4,1,3,1,3,5,0,2,4,2,2,7,2,3,2,2,5,0,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.1416597762992482,0.3333333333333335
10,10,5,4,2,5,1,3,2,4,1,5,2,3,0,3,5,1,1,3,2,2,6,3,3,4,1,2,1,3,6,3,1,1,4,1,2,3,2,6,2,2,2,4,2,2,2,2,5,1,2,5,1,0,2,2,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.7806804711610245,0.626262626262626
10,10,5,4,3,5,1,3,2,4,0,5,2,3,1,2,5,0,2,5,2,2,4,3,3,0,1,5,2,5,1,2,2,5,2,2,1,1,5,5,4,2,1,1,5,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9167592982669814,0.49494949494949525
10,10,5,4,2,5,1,2,2,4,1,5,2,4,0,3,5,0,2,3,2,2,6,3,3,4,1,3,0,3,6,2,1,1,3,3,2,0,2,5,2,3,3,4,3,2,1,1,4,2,5,2,1,0,5,5,5,2,5,1,5,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.7525738480477315,0.6565656565656561
10,10,5,4,3,4,1,3,3,3,0,4,2,3,3,4,2,0,3,4,3,2,3,3,2,1,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.19302357362663,0.30303030303030315
10,10,5,4,3,5,1,3,2,4,0,5,2,4,1,2,5,0,2,5,2,2,4,3,3,0,1,5,2,5,1,2,2,5,2,2,1,1,5,1,4,5,2,2,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9290866507154486,0.48484848484848514
10,10,5,4,3,5,1,3,3,1,0,5,3,3,0,3,2,5,2,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.303252306685966,0.24242424242424251
10,10,5,4,3,4,1,3,2,4,0,5,2,3,2,3,5,0,2,4,2,2,4,3,3,2,2,5,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.1590366937251064,0.32323232323232337
10,10,5,4,3,4,1,3,2,4,0,5,2,3,1,3,5,0,2,4,2,2,3,3,3,3,2,5,1,3,4,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.1096872053894833,0.3535353535353537
10,10,5,4,3,5,1,3,2,3,1,5,2,3,0,3,5,0,2,4,2,2,5,3,3,4,1,3,1,2,6,0,1,2,5,1,3,3,2,5,2,2,4,3,2,2,1,2,4,1,5,5,1,0,5,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.8090995628030101,0.5959595959595958
10,10,5,4,3,5,1,3,2,3,1,5,2,3,0,3,5,0,2,4,2,2,5,3,3,4,1,3,1,2,6,0,1,2,5,1,3,2,2,5,3,2,4,3,1,2,2,2,4,1,5,5,1,0,4,5,5,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.7997565573282372,0.6060606060606059
10,10,5,4,2,5,1,3,2,4,1,5,2,3,0,3,5,0,1,3,2,2,6,3,3,4,1,2,1,3,6,3,1,2,3,1,2,3,2,6,2,2,3,2,2,2,2,2,5,2,5,5,1,0,2,2,5,2,2,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.7625618038723168,0.6464646464646461
10,10,5,4,2,5,1,3,2,4,1,5,2,3,0,3,5,0,2,3,2,2,6,3,3,4,1,3,1,2,6,2,1,1,4,2,2,3,2,6,2,2,2,2,2,2,1,2,5,0,5,5,2,0,3,2,5,5,2,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.7714501697299427,0.636363636363636
10,10,5,4,2,5,1,3,2,3,1,5,2,4,3,3,2,0,3,3,2,2,6,3,0,5,1,2,1,3,6,1,1,6,3,3,2,1,2,1,5,2,3,3,3,3,1,2,2,5,5,2,0,0,4,5,3,2,3,1,5,2,5,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,0.7448279792884454,0.6666666666666662
10,10,5,4,3,5,1,3,3,1,0,6,3,3,0,2,5,5,2,5,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.3228682558735751,0.2323232323232324
