0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,avg_pollution,utility,inertia,reliability
8,9,4,5,4,4,3,2,2,3,1,3,2,3,2,1,3,3,4,5,6,5,5,5,4,6,7,9,7,8,9,10,10,9,8,8,9,8,9,10,9,8,9,9,9,9,9,8,9,10,0.9692048402568696,0.7190919513065573,0.9795918367346946,0.5400000000000001
9,9,4,5,4,4,3,2,2,3,2,3,3,2,2,1,2,3,3,2,2,2,3,2,1,1,2,3,1,3,4,5,5,6,7,9,9,9,9,10,10,9,9,10,10,10,10,9,10,10,0.548111798601803,0.5881319888127043,0.9795918367346946,0.7400000000000003
8,9,4,3,2,1,3,2,3,2,2,3,3,3,2,1,2,2,3,2,2,2,3,2,2,1,2,1,3,3,2,3,1,3,2,1,2,2,1,2,2,1,1,0,6,7,9,9,10,10,0.17903784396083905,0.38412759986476597,0.9591836734693885,1.0000000000000004
9,8,4,3,3,2,2,2,3,2,2,3,2,2,2,2,1,2,3,2,2,3,2,2,3,2,2,3,2,3,3,2,1,2,2,1,2,2,3,2,2,1,0,1,6,7,10,9,10,10,0.18412850561685637,0.39235514859949977,0.9387755102040823,1.0000000000000004
10,9,3,5,2,2,3,2,3,3,2,3,2,3,2,2,2,2,3,2,2,3,3,1,2,2,3,2,3,3,3,3,1,2,1,1,0,1,1,2,3,1,3,3,5,5,10,10,10,10,0.19774440883925098,0.41063946719559014,0.89795918367347,1.0000000000000004
8,9,3,2,3,3,3,1,3,2,1,2,2,3,2,2,2,3,2,1,3,3,0,2,3,1,3,1,1,3,2,2,1,3,1,1,3,1,0,1,1,1,1,0,0,5,9,10,10,10,0.15979500015193007,0.35141166390631406,0.89795918367347,1.0000000000000004
9,7,3,3,2,2,3,1,3,3,1,3,2,1,2,2,2,2,3,2,3,3,1,2,2,2,2,1,2,2,2,3,1,1,0,1,3,1,1,1,3,1,0,1,2,1,10,10,10,10,0.1571931454005398,0.34710868514586873,0.9591836734693885,1.0000000000000004
9,9,4,4,3,3,3,2,3,3,2,3,3,2,3,2,3,3,2,3,2,3,2,2,2,1,3,3,3,2,2,2,2,3,1,6,2,1,2,2,1,2,1,4,2,7,10,10,10,10,0.21674569644506608,0.43053966602464255,0.8571428571428578,1.0000000000000004
7,6,4,3,2,2,2,2,3,2,1,0,1,2,2,1,2,2,2,2,2,2,1,0,0,1,1,0,1,3,1,2,1,1,1,0,1,0,0,1,1,0,0,0,1,1,9,9,10,10,0.12570904284509424,0.27417614990810607,0.9795918367346946,1.0000000000000004
6,6,4,3,3,2,3,2,3,3,1,3,2,1,2,2,1,2,3,1,3,3,2,2,2,1,1,1,1,3,2,2,1,1,2,1,2,1,0,1,1,0,0,0,1,3,10,10,10,10,0.14862021071507275,0.32699749495029606,0.9795918367346946,1.0000000000000004
10,9,4,5,4,3,3,2,3,3,2,2,3,2,3,2,2,2,3,2,2,4,3,2,3,2,3,2,3,3,3,2,3,1,1,3,2,2,2,6,0,5,1,4,4,5,4,10,10,10,0.2362188288568906,0.44055398801112855,0.8367346938775516,1.0000000000000004
7,6,4,3,3,1,2,2,3,2,1,3,1,2,1,1,2,2,2,2,2,2,1,0,0,1,2,1,2,3,2,2,1,2,1,1,3,1,0,0,0,1,1,1,1,0,9,10,10,10,0.1367509679995646,0.30123916659471695,0.9795918367346946,1.0000000000000004
9,9,4,5,4,4,3,2,3,3,2,3,3,2,2,1,1,3,3,3,3,2,2,2,3,4,4,6,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.8146571980320697,0.7013082305304359,0.9795918367346946,0.6200000000000002
8,8,3,2,2,1,3,2,3,3,1,2,1,2,2,1,3,2,2,2,2,2,1,2,1,2,3,1,1,3,2,3,1,1,3,2,1,1,1,1,1,1,1,0,2,2,9,9,10,10,0.14960239518287488,0.3306823909835745,0.9387755102040823,1.0000000000000004
9,9,7,3,4,3,3,3,3,3,1,2,3,3,3,2,2,3,3,2,2,2,2,2,2,1,2,2,2,3,1,3,1,2,2,1,1,2,1,0,1,3,3,2,1,0,10,10,10,10,0.20727240095095398,0.4031962311173786,0.9591836734693885,1.0000000000000004
9,9,7,4,4,3,3,3,3,2,1,3,3,2,2,2,2,3,3,3,3,3,2,2,2,1,3,2,2,3,2,3,1,2,2,1,1,2,3,3,1,3,5,5,3,1,10,10,10,10,0.23567112301465176,0.4358269514217191,0.9183673469387762,1.0000000000000004
10,9,4,4,3,2,3,2,3,3,1,3,3,3,3,2,2,3,3,3,2,2,3,3,1,5,3,1,3,3,2,2,3,3,3,2,3,2,3,3,2,0,3,5,6,6,9,10,10,10,0.23678708684933483,0.45037208293600756,0.8571428571428578,0.9800000000000005
10,9,4,3,4,3,3,2,2,3,1,3,3,3,3,1,2,3,2,3,2,3,3,2,3,1,2,3,3,1,2,2,3,3,1,2,2,1,2,2,1,1,5,5,5,6,5,10,10,10,0.2087186583106869,0.42186664848553235,0.9387755102040823,1.0000000000000004
9,9,4,5,4,4,3,2,3,3,1,3,2,2,2,1,2,3,3,2,3,3,2,2,2,3,4,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.7880834726301534,0.6905849091677609,0.9795918367346946,0.6400000000000002
9,9,5,3,4,3,3,1,3,3,2,3,3,3,3,3,2,3,3,3,3,4,3,2,3,1,3,2,3,3,2,2,2,3,2,3,2,1,2,2,2,3,3,6,9,9,10,9,10,10,0.2628073396044964,0.46656468794784917,0.9183673469387762,0.9600000000000005
9,10,4,4,4,3,3,2,3,3,1,3,2,3,3,1,2,3,2,2,3,3,3,3,3,2,2,2,3,3,2,2,3,2,3,3,2,3,10,10,10,10,10,10,10,10,10,10,10,10,0.39837649761355903,0.5412439361208848,0.9591836734693885,0.8400000000000004
10,10,4,4,3,3,3,2,3,3,1,3,2,3,3,2,2,3,3,3,3,3,3,3,3,2,3,2,4,3,3,2,3,1,1,1,2,1,3,4,0,3,1,3,5,10,10,10,10,10,0.24600809579041794,0.4536770670356529,0.8775510204081639,0.9800000000000005
9,9,4,4,3,3,3,2,3,3,1,3,3,2,3,2,3,3,3,2,2,2,2,3,2,2,3,2,3,2,2,2,2,2,1,2,2,2,1,2,1,3,3,10,10,10,9,10,10,10,0.2334951796724973,0.44906375973419005,0.9591836734693885,0.9400000000000005
10,10,4,5,3,3,3,2,3,3,1,3,3,3,1,2,2,3,3,3,2,5,2,2,2,3,3,2,3,3,2,2,2,2,5,2,5,3,2,4,5,10,9,10,10,10,10,10,10,10,0.34919939770787267,0.5200545834150709,0.7959183673469393,0.8800000000000004
9,10,4,4,3,3,3,2,3,3,1,2,2,3,3,2,2,3,3,2,2,3,3,3,1,1,2,3,3,3,2,2,1,1,2,1,2,1,2,2,3,5,4,5,4,9,10,9,10,10,0.2194201626143355,0.4340959409328632,0.9387755102040823,0.9800000000000005
9,9,4,3,3,2,3,2,3,3,2,3,2,2,3,2,2,3,3,2,2,2,1,2,2,3,3,3,2,2,2,2,3,3,1,2,2,3,1,3,1,1,1,1,5,5,10,10,10,10,0.19471520651626154,0.4074416322981973,0.9387755102040823,1.0000000000000004
7,6,3,2,3,2,2,2,2,3,1,0,1,2,1,1,1,2,2,1,2,3,1,1,0,1,2,1,1,3,1,3,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,6,10,10,0.11860036814987285,0.2562711764534464,0.9387755102040823,1.0000000000000004
9,9,4,5,4,3,3,2,3,2,2,3,2,3,3,2,2,3,3,3,2,3,3,2,3,1,2,2,3,3,2,2,3,2,2,1,10,9,10,10,10,10,10,10,10,10,10,10,10,10,0.45445364987617726,0.5627549190372656,0.9591836734693885,0.8000000000000004
7,6,4,3,2,2,3,2,2,2,1,3,1,2,2,2,2,2,2,2,2,2,1,1,0,1,1,1,2,2,1,3,1,1,1,1,1,0,0,1,1,0,0,0,2,1,1,9,10,10,0.12939778868001336,0.28487736392626806,0.9591836734693885,1.0000000000000004
10,9,5,4,4,3,3,2,3,2,1,3,3,3,3,2,1,3,3,2,3,3,2,2,2,2,3,2,3,2,3,2,3,2,3,3,5,4,10,10,10,10,10,10,10,10,10,10,10,10,0.41950143695651304,0.5502816509695778,0.9387755102040823,0.8200000000000004
10,9,4,4,3,3,3,1,3,3,2,3,2,3,3,3,2,3,3,2,2,3,2,3,3,2,3,3,3,3,3,3,1,2,3,3,2,3,3,4,1,1,10,10,10,10,10,10,10,10,0.2859381957846162,0.49001843698188435,0.9387755102040823,0.9200000000000005
10,9,5,3,4,3,3,1,3,3,1,3,3,2,3,2,2,3,3,2,2,3,3,2,3,3,3,2,3,2,2,3,2,3,3,2,2,2,2,2,5,2,6,10,10,10,10,10,10,10,0.26957340863161566,0.48018094959131236,0.8775510204081639,0.9200000000000005
10,9,4,5,4,3,3,2,3,3,2,3,2,3,3,2,2,3,3,2,2,3,3,3,3,2,3,2,3,1,2,3,3,3,2,5,2,2,4,3,5,10,10,10,10,10,10,10,10,10,0.3527283033018453,0.5207776275346179,0.8775510204081639,0.8800000000000004
10,9,4,4,4,4,3,1,3,3,2,3,3,3,3,2,2,2,3,3,3,3,3,2,2,2,2,2,0,4,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.6831167060420548,0.6509331312523827,0.9183673469387762,0.7000000000000003
10,9,4,5,4,4,3,1,2,3,2,2,3,3,3,2,3,3,2,2,3,3,2,2,3,2,3,2,3,3,3,3,3,2,2,4,4,6,10,10,10,10,10,10,10,10,10,10,10,10,0.4494471325971958,0.5619983191584585,0.9387755102040823,0.8200000000000004
10,10,4,4,4,3,2,2,3,3,2,3,3,3,3,2,1,3,2,2,2,3,3,3,2,3,2,2,3,3,3,2,2,3,2,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.4697944064208078,0.5703521844641845,0.9591836734693885,0.8000000000000004
9,7,4,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,2,3,2,3,3,2,1,2,2,1,1,3,2,3,1,3,1,1,2,2,1,1,2,1,1,3,2,1,9,10,10,10,0.16678285206384647,0.3647974037023942,0.9591836734693885,1.0000000000000004
10,9,4,4,4,3,3,1,2,3,2,3,3,3,3,1,2,3,3,2,2,3,3,3,2,3,3,2,3,1,2,3,2,2,2,2,2,3,2,10,10,10,10,10,10,10,10,10,10,10,0.34825973593662957,0.5200364611405682,0.9591836734693885,0.8600000000000004
10,9,4,3,4,3,3,2,3,3,2,3,2,3,3,2,2,3,3,2,3,3,3,3,2,2,3,3,3,3,2,3,3,2,2,2,2,3,3,2,5,5,10,10,10,10,10,10,10,10,0.307538225934866,0.5017390587130033,0.9387755102040823,0.9000000000000005
10,9,4,3,4,3,3,2,3,3,1,3,3,3,4,2,2,3,3,3,2,3,3,3,3,2,2,5,3,1,2,3,2,2,2,3,2,0,2,2,6,4,5,5,10,10,10,10,10,10,0.2770052153472716,0.48038256491535936,0.8367346938775516,0.9400000000000005
10,9,4,4,4,4,3,1,3,3,2,3,2,2,3,2,2,3,3,3,2,3,3,2,2,2,3,4,3,1,2,3,3,2,2,2,2,9,10,10,10,10,10,10,10,10,10,10,10,10,0.42899381390972213,0.5545399368010286,0.9591836734693885,0.8200000000000004
3,1,3,2,2,3,2,2,3,2,1,0,1,2,2,1,2,1,2,2,2,2,1,0,0,1,2,0,1,3,1,2,1,1,2,1,1,0,0,1,1,0,0,0,1,0,1,9,10,10,0.10991938010568712,0.22385284644499132,0.9591836734693885,1.0000000000000004
10,9,4,5,4,4,3,1,3,3,2,3,3,2,2,2,3,3,3,3,1,3,1,3,2,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9304009395442552,0.7521503916869767,0.9591836734693885,0.5800000000000002
10,10,4,4,4,3,3,2,3,3,1,3,3,3,3,2,2,2,3,3,2,3,3,2,2,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.706275585391442,0.660458185351043,0.9591836734693885,0.6800000000000003
10,9,5,5,4,3,3,2,2,3,2,3,3,3,3,1,2,3,4,3,1,2,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1.0514948649501918,0.8053894506330139,0.9591836734693885,0.5200000000000001
10,9,4,4,4,4,3,1,3,3,2,3,3,3,3,1,2,3,3,3,2,2,3,3,2,2,3,2,6,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.7591089891642564,0.6815391134147992,0.9387755102040823,0.6600000000000003
10,9,4,3,4,3,3,1,3,2,2,3,3,4,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,2,1,2,3,3,3,3,1,3,3,9,10,10,10,10,10,10,10,0.2940552987906493,0.492961749770096,0.9591836734693885,0.9200000000000005
10,9,5,4,4,4,3,2,2,2,2,3,3,3,3,2,1,3,3,3,2,3,3,2,2,2,3,3,2,3,2,5,4,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.603537315347458,0.6200673143303552,0.9387755102040823,0.7400000000000003
10,10,4,4,4,4,3,1,2,2,2,3,4,3,3,2,2,3,2,3,2,3,3,3,3,3,3,2,3,1,3,3,2,2,6,5,9,10,10,10,10,10,10,10,10,10,10,10,10,10,0.5268829782832567,0.5905266659711705,0.9387755102040823,0.7800000000000004
10,8,4,1,3,3,3,2,3,2,2,3,2,3,2,2,2,3,2,2,3,3,1,2,2,2,3,2,3,3,2,3,2,2,1,2,2,1,3,2,2,2,3,3,2,10,10,10,10,10,0.19696937713677265,0.4121362859762725,0.9183673469387762,0.9800000000000005
10,10,4,4,3,3,3,1,3,3,1,3,3,2,3,2,2,3,3,3,2,2,3,3,2,3,2,2,1,5,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.679996070414041,0.6503609832077927,0.9387755102040823,0.6800000000000003
10,9,4,5,3,3,3,3,3,3,2,3,3,2,2,2,2,2,3,2,1,3,2,2,2,2,3,3,3,3,2,3,3,2,3,1,2,2,3,2,2,1,2,3,5,10,10,10,10,10,0.23211050264144278,0.4449873504385475,0.9183673469387762,0.9800000000000005
9,9,4,5,4,3,3,1,2,3,2,3,3,3,3,1,1,2,3,3,2,2,3,2,3,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9047837963219777,0.7407245977377201,0.9591836734693885,0.5800000000000002
