0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,avg_pollution,utility,inertia,reliability
9,7,6,4,4,4,3,3,2,2,2,3,3,2,3,3,2,2,1,3,4,4,5,5,5,6,9,9,9,9,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,9,10,9,10,10,10,10,9,9,9,9,9,9,7,8,9,10,9,8,9,9,9,8,9,9,7,9,8,8,9,8,1.6064804226701421,1.1916251216021916,0.989898989898988,0.2800000000000001
10,6,6,4,4,4,3,3,2,2,2,3,3,2,3,3,2,2,1,3,4,4,6,5,5,6,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,10,10,10,9,9,9,8,9,8,7,8,9,10,9,8,9,8,9,8,9,9,7,9,9,8,9,8,1.5966482281662868,1.1817502443793084,0.989898989898988,0.2800000000000001
10,6,6,4,4,4,3,2,2,2,2,3,2,3,3,3,2,2,2,3,4,4,5,5,4,5,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,9,9,9,8,9,9,7,8,9,10,9,8,9,8,9,8,8,9,7,9,9,9,9,7,1.5848725757028423,1.173367652208363,0.989898989898988,0.2900000000000001
10,7,6,4,4,4,3,3,2,2,2,3,2,2,3,3,2,2,1,3,4,4,5,5,6,7,9,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,9,10,10,9,9,9,8,9,9,7,8,9,10,9,8,9,9,9,8,8,9,7,9,8,9,9,9,1.6138305740187262,1.2025059753243224,0.989898989898988,0.2800000000000001
10,7,6,4,4,4,3,3,2,2,2,3,3,2,3,3,2,3,1,3,4,4,3,2,2,1,2,3,4,3,3,2,2,2,3,3,2,3,2,3,3,2,3,3,2,2,3,3,3,2,2,3,5,3,3,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,9,10,10,9,10,10,0.9899607844622687,0.8101918729583315,0.9595959595959578,0.5900000000000003
10,7,6,4,4,3,3,3,2,2,2,3,2,3,3,3,2,2,2,3,4,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,10,10,10,9,9,9,10,9,8,9,10,9,9,10,9,9,9,1.6663117010275794,1.263109526824782,0.989898989898988,0.25000000000000006
10,7,6,4,3,3,3,3,2,2,2,3,2,3,3,3,3,2,2,3,3,4,3,2,3,1,1,3,4,3,2,3,2,3,3,3,2,2,3,2,3,2,1,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,9,10,10,10,10,10,10,10,10,9,10,10,10,10,9,9,9,1.1863654200041096,0.9120837543593224,0.9797979797979779,0.49000000000000027
10,7,6,4,4,3,3,3,2,3,2,3,2,3,2,3,2,2,1,3,4,3,3,2,2,1,3,3,4,3,2,3,2,3,3,2,2,3,3,2,3,3,2,2,3,3,4,3,2,3,2,3,3,2,2,3,3,3,2,3,2,3,3,3,3,3,4,3,2,3,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,9,9,10,9,10,10,0.6878325168537962,0.6850109014632868,0.9797979797979779,0.7300000000000004
10,7,6,4,4,3,3,3,3,2,2,3,2,3,2,3,2,2,1,3,4,4,3,2,2,1,2,3,4,3,2,3,2,3,3,3,2,3,3,2,3,2,2,2,2,3,4,3,2,2,2,3,3,2,3,3,3,2,3,3,2,3,2,3,1,3,4,3,3,3,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,9,10,10,0.6544077170434195,0.6748029416547071,0.9797979797979779,0.7400000000000004
9,7,6,4,4,3,3,3,2,2,2,3,2,2,3,3,2,2,2,3,4,4,3,2,3,2,2,3,3,3,2,3,2,2,3,2,2,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,10,10,10,9,9,9,9,10,10,9,9,9,1.331747840411976,1.0005892779669139,0.989898989898988,0.4200000000000002
