epsilon_progress,nfe
0,0
30,100
78,1198
134,2292
191,3389
240,4488
287,5582
331,6674
382,7772
419,8862
456,9958
460,10965
479,12012
493,13056
511,14106
536,15155
558,16204
585,17247
611,18297
631,19346
653,20393
670,21440
699,22489
721,23535
747,24582
772,25630
786,26680
810,27727
823,28773
839,29819
866,30867
892,31907
915,32952
935,33998
954,35046
967,36090
987,37138
1002,38183
1013,39229
1031,40277
1054,41325
1065,42371
1086,43419
1100,44465
1109,45509
1122,46555
1132,47604
1140,48648
1150,49693
1163,50734
1170,51782
1182,52831
1194,53877
1202,54924
1214,55971
1225,57010
1230,58057
1246,59107
1255,60154
1264,61202
1273,62251
1286,63299
1290,64345
1300,65392
1307,66437
1316,67485
1328,68530
1337,69575
1345,70622
1352,71669
1362,72716
1371,73760
1380,74809
1391,75853
1400,76902
1406,77949
1414,78994
1421,80043
1431,81087
1443,82135
1451,83183
1465,84228
1469,85274
1481,86322
1496,87366
1505,88411
1515,89458
1520,90498
1527,91543
1537,92590
1544,93633
1548,94682
1556,95731
1560,96780
1569,97829
1577,98878
1582,99919
1586,100962
1591,102010
1596,103056
1608,104101
1612,105149
1619,106197
1633,107245
1639,108294
1645,109343
1655,110385
1667,111433
1672,112482
1681,113529
1689,114576
1694,115673
1698,116869
1703,118067
1711,119266
1716,120464
1722,121661
1736,122859
1740,124056
1747,125251
1751,126448
1756,127646
1765,128843
1767,130040
1771,131234
1778,132430
1785,133430
1789,134626
1795,135626
1801,136824
1806,138019
1812,139214
1817,140410
1822,141604
1827,142799
1834,143997
1837,145194
1842,146389
1847,147587
1851,148784
1855,149979
1862,151175
1869,152370
1875,153569
1878,154767
1885,155965
1890,157160
1896,158160
1906,159358
1911,160358
1912,161550
1915,162550
1918,163550
1919,164744
1926,165943
1928,167142
1932,168338
1935,169534
1943,170729
1948,171926
1953,173124
1959,174124
1965,175319
1967,176512
1970,177707
1975,178903
1978,180095
1981,181290
1983,182484
1987,183679
1991,184870
2000,186052
2004,187239
2009,188433
2012,189627
2018,190822
2022,192020
2030,193020
2038,194217
2046,195410
2047,196605
2050,197801
2056,198997
2061,200193
2067,201385
2070,202580
2078,203778
2082,204976
2092,206172
2094,207172
2103,208371
2104,209568
2111,210765
2114,211962
2116,213155
2117,214352
2121,215544
2124,216738
2130,217930
2134,219127
2139,220316
2142,221506
2149,222698
2153,223893
2153,225091
2157,226288
2162,227486
2164,228682
2167,229880
2171,231077
2171,232274
2174,233469
2176,234469
2176,235662
2178,236857
2182,238050
2189,239249
2190,240447
2193,241644
2196,242837
2202,244035
2206,245231
2212,246427
2214,247626
2216,248626
2222,249825
2224,251023
2227,252023
2228,253220
2231,254417
2234,255608
2235,256804
2237,258002
2238,259002
2239,260200
2242,261396
2245,262592
2245,263787
2248,264983
2248,265983
2253,267178
2254,268376
2257,269575
2259,270769
2263,271965
2263,273164
2265,274164
2268,275164
2270,276360
2273,277559
2275,278757
2279,279953
2279,281152
2280,282346
2281,283346
2281,284544
2284,285741
2285,286939
2289,288138
2289,289337
2290,290531
2294,291728
2297,292924
2300,294122
2303,295321
2305,296516
2306,297516
2310,298714
2314,299911
2318,301109
2318,302306
2319,303306
2321,304502
2323,305699
2324,306893
2328,308090
2329,309287
2329,310480
2336,311678
2338,312877
2340,314072
2341,315102
2341,316206
2341,317312
2344,318420
2345,319527
2347,320634
2351,321741
2352,322850
2356,323960
2358,325069
2362,326177
2365,327282
2369,328389
2369,329498
2374,330606
2379,331710
2379,332816
2382,333917
2385,335027
2387,336133
2393,337238
2400,338341
2401,339448
2404,340552
2405,341655
2406,342759
2406,343863
2407,344968
2410,346075
2414,347178
2415,348277
2416,349375
2418,350473
2419,351567
2422,352659
2422,353753
2425,354853
2426,355956
2428,357049
2430,358151
2431,359254
2434,360351
2437,361454
2439,362553
2440,363662
2442,364764
2445,365860
2449,366961
2451,368067
2453,369165
2454,370269
2458,371374
2461,372479
2465,373580
2468,374684
2474,375785
2476,376883
2477,377988
2478,379091
2479,380196
2481,381302
2484,382402
2485,383505
2487,384603
2488,385704
2490,386807
2490,387907
2492,389010
2493,390115
2495,391219
2497,392324
2498,393433
2499,394537
2500,395645
2501,396753
2503,397862
2505,398972
2506,400081
2507,401182
2510,402291
2513,403400
2515,404508
2517,405614
2524,406723
2525,407832
2525,408941
2527,410047
2530,411155
2533,412262
2536,413368
2539,414476
2540,415585
2542,416690
2543,417798
2544,418906
2548,420011
2548,421117
2548,422226
2549,423334
2550,424441
2551,425550
2551,426655
2552,427761
2554,428865
2557,429973
2557,431082
2557,432192
2558,433302
2560,434412
2561,435522
2561,436627
2563,437735
2564,438844
2565,439952
2566,441061
2571,442170
2575,443280
2575,444389
2580,445499
2581,446603
2581,447712
2584,448820
2586,449929
2587,451035
2589,452142
2592,453252
2596,454360
2596,455470
2596,456577
2597,457686
2598,458794
2598,459901
2602,461010
2602,462119
2603,463225
2604,464333
2607,465441
2608,466551
2608,467660
2609,468768
2612,469874
2613,470983
2615,472092
2619,473202
2621,474307
2622,475417
2623,476524
2625,477630
2626,478736
2629,479842
2630,480952
2631,482060
2631,483166
2632,484276
2636,485384
2637,486491
2641,487601
2642,488710
2644,489819
2647,490927
2648,492035
2648,493145
2651,494254
2652,495364
2653,496470
2655,497579
2655,498686
2658,499792
2658,500900
2661,502006
2667,503113
2670,504221
2670,505326
2671,506429
2673,507533
2674,508643
2675,509752
2676,510860
2678,511970
2678,513079
2678,514186
2679,515296
2681,516404
2682,517510
2683,518619
2685,519726
2687,520833
2690,521942
2691,523051
2691,524152
2693,525258
2695,526366
2697,527472
2700,528581
2700,529690
2702,530799
2703,531906
2705,533015
2708,534123
2709,535232
2711,536270
2711,537348
2712,538424
2714,539502
2714,540580
2716,541657
2717,542735
2718,543815
2718,544893
2718,545972
2719,547050
2721,548129
2722,549205
2722,550284
2724,551362
2724,552439
2725,553516
2727,554592
2730,555669
2734,556749
2737,557827
2737,558905
2738,559982
2740,561058
2740,562135
2740,563211
2741,564290
2742,565364
2743,566439
2744,567516
2745,568591
2747,569664
2749,570736
2750,571811
2752,572882
2753,573953
2753,575029
2755,576106
2755,577181
2755,578257
2756,579334
2756,580412
2757,581486
2759,582563
2759,583641
2760,584716
2762,585794
2763,586871
2764,587949
2764,589027
2764,590106
2765,591182
2765,592261
2767,593330
2770,594407
2771,595483
2773,596555
2775,597630
2776,598699
2780,599775
2780,600848
2781,601926
2782,603005
2782,604076
2782,605154
2782,606234
2782,607307
2783,608380
2783,609452
2784,610530
2786,611607
2787,612683
2789,613762
2789,614836
2789,615913
2789,616989
2792,618065
2792,619139
2793,620218
2794,621296
2796,622373
2796,623452
2796,624532
2797,625610
2797,626688
2802,627765
2802,628841
2803,629920
2805,630999
2806,632078
2808,633157
2809,634237
2809,635315
2809,636394
2811,637467
2811,638546
2811,639624
2812,640702
2812,641780
2813,642858
2813,643936
2814,645015
2814,646094
2816,647172
2818,648246
2819,649320
2820,650400
2822,651475
2822,652552
2823,653632
2824,654706
2825,655784
2826,656863
2826,657941
2827,659019
2827,660096
2828,661173
2829,662252
2829,663331
2830,664406
2833,665485
2834,666563
2837,667640
2837,668719
2839,669796
2839,670873
2839,671953
2839,673031
2839,674106
2839,675184
2839,676263
2841,677341
2842,678416
2842,679495
2844,680575
2845,681652
2847,682732
2848,683811
2848,684889
2848,685969
2848,687048
2848,688128
2849,689206
2850,690284
2851,691361
2851,692441
2852,693518
2853,694595
2854,695674
2858,696750
2859,697824
2860,698904
2860,699983
2861,701063
2862,702140
2866,703215
2867,704295
2869,705375
2869,706454
2870,707534
2871,708613
2871,709692
2873,710771
2873,711851
2873,712929
2874,714003
2874,715080
2875,716160
2875,717236
2875,718312
2875,719390
2877,720464
2878,721541
2878,722620
2880,723694
2881,724773
2882,725849
2885,726928
2885,728007
2885,729084
2885,730159
2885,731236
2885,732314
2887,733392
2888,734468
2889,735547
2889,736623
2890,737703
2891,738779
2891,739857
2892,740933
2893,742010
2895,743086
2895,744161
2895,745241
2896,746317
2898,747396
2898,748472
2898,749552
2898,750631
2898,751665
2898,752771
2898,753877
2898,754986
2898,756096
2899,757205
2899,758313
2899,759422
2901,760531
2902,761641
2903,762750
2905,763860
2905,764969
2908,766076
2908,767184
2910,768292
2911,769401
2911,770508
2916,771617
2916,772726
2917,773833
2921,774938
2923,776044
2927,777152
2930,778262
2931,779369
2932,780477
2933,781585
2935,782694
2938,783803
2939,784911
2940,786019
2942,787128
2945,788237
2946,789342
2946,790448
2948,791556
2949,792662
2949,793772
2953,794878
2955,795985
2956,797089
2957,798198
2958,799304
2958,800410
2960,801517
2961,802622
2963,803728
2965,804836
2966,805942
2966,807051
2967,808156
2968,809263
2973,810372
2973,811479
2974,812588
2975,813694
2977,814802
2978,815910
2979,817018
2980,818127
2983,819235
2983,820345
2983,821452
2985,822559
2985,823667
2985,824772
2985,825880
2985,826989
2985,828098
2985,829202
2986,830303
2986,831408
2986,832509
2987,833610
2989,834714
2989,835821
2990,836927
2990,838032
2991,839138
2995,840247
2995,841356
2996,842462
2996,843569
2996,844676
2996,845786
2996,846894
2997,848003
2998,849112
2999,850221
3002,851329
3002,852439
3003,853548
3005,854650
3005,855757
3007,856862
3007,857972
3007,859079
3007,860187
3007,861295
3007,862404
3007,863510
3009,864619
3010,865728
3012,866834
3012,867943
3013,869052
3013,870162
3014,871272
3018,872381
3020,873491
3020,874597
3021,875707
3021,876816
3024,877924
3024,879032
3026,880142
3026,881249
3026,882359
3027,883465
3028,884575
3029,885683
3029,886791
3029,887897
3029,889007
3031,890116
3031,891224
3033,892333
3034,893437
3034,894544
3035,895652
3035,896762
3035,897871
3035,898977
3037,900087
3037,901195
3039,902303
3041,903412
3042,904519
3042,905629
3044,906736
3046,907843
3050,908951
3051,910060
3051,911170
3053,912280
3054,913389
3054,914495
3056,915601
3056,916707
3058,917815
3059,918924
3060,920033
3061,921143
3061,922251
3062,923361
3062,924471
3062,925579
3064,926687
3064,927794
3065,928898
3065,930006
3065,931115
3065,932223
3068,933331
3068,934440
3070,935549
3072,936657
3073,937763
3074,938869
3074,939977
3075,941085
3076,942194
3076,943299
3076,944406
3076,945514
3079,946621
3079,947730
3081,948839
3082,949948
3085,951056
3086,952163
3089,953272
3089,954380
3092,955488
3093,956596
3094,957705
3095,958810
3095,959917
3096,961027
3096,962134
3096,963242
3096,964351
3096,965461
3096,966569
3097,967678
3097,968785
3098,969893
3098,971002
3099,972110
3100,973170
3100,974329
3100,975485
3100,976645
3100,977803
3100,978962
3100,980119
3100,981279
3101,982438
3101,983595
3101,984752
3101,985911
3101,987068
3104,988226
3104,989384
3106,990543
3106,991701
3106,992855
3107,994014
3107,995172
3109,996329
3109,997486
3110,998643
3110,999801
