0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,10-p utility,10-p reliability
10,8,6,6,6,3,1,4,0,3,3,4,2,4,3,1,2,3,2,2,2,4,1,5,0,2,1,3,2,6,5,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,10,10,10,10,10,10,10,10,10,9,9,8,9,8,10,10,10,10,10,9,10,8,9,8,10,7,10,9,8,7,8,8,8,9,10,9,10,10,9,9,9,6,8,9,4,9,8,0.7840065846681833,0.35151515151515167
10,8,6,5,6,3,1,5,0,2,3,4,2,4,3,0,3,3,5,2,2,5,0,6,0,5,0,1,2,4,5,4,4,2,10,9,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,9,10,10,10,10,10,10,10,10,10,9,9,8,9,8,10,10,10,10,10,10,10,8,9,9,10,7,10,9,9,8,9,8,8,9,9,10,10,9,9,10,9,7,8,9,7,6,8,0.7642411765196627,0.3707070707070709
10,8,6,5,6,3,1,5,0,1,4,5,2,5,3,1,2,3,2,2,2,4,0,5,0,5,1,2,1,0,5,3,5,3,5,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,9,10,10,10,10,10,10,10,10,10,9,9,8,9,10,10,10,10,10,10,10,10,8,9,9,10,7,10,9,9,7,8,8,8,10,9,10,10,10,9,9,9,7,9,9,4,9,8,0.7497925878820235,0.381818181818182
10,7,9,4,5,2,2,1,1,2,4,3,2,3,3,6,2,2,5,3,3,1,1,2,2,5,2,0,4,2,6,0,2,2,1,4,2,0,4,6,0,5,0,3,1,4,6,1,0,0,4,2,6,2,2,5,2,2,3,3,5,7,8,5,6,9,10,10,9,10,10,10,10,8,9,9,10,7,10,10,9,10,7,7,8,8,8,9,10,10,8,9,8,7,8,10,8,9,9,0.5321034505721054,0.6646464646464642
10,8,6,5,6,3,1,4,0,2,3,5,2,7,3,1,2,3,2,2,3,3,1,6,0,3,1,2,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,10,10,10,10,10,10,10,10,10,9,9,8,9,8,10,10,10,10,10,9,10,8,9,8,10,8,10,9,8,7,8,8,10,10,10,6,10,10,9,9,8,7,9,9,2,7,8,0.8234135489101444,0.32121212121212134
10,8,6,5,6,2,1,4,1,2,3,4,2,5,2,1,2,3,5,1,2,4,0,5,0,5,0,3,2,4,6,2,2,2,2,6,3,5,5,2,6,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,9,9,8,9,10,10,10,10,10,10,10,10,8,9,10,10,7,10,10,9,8,9,7,9,9,9,10,10,10,9,10,8,7,8,6,7,9,8,0.7006547587877948,0.43232323232323255
10,7,6,4,6,2,5,2,1,1,7,2,2,2,1,5,1,2,5,3,3,2,1,2,3,4,1,1,3,1,6,1,2,1,3,6,2,3,3,1,0,4,3,2,1,5,5,7,0,0,4,1,1,1,2,6,2,0,1,1,6,1,7,2,1,1,0,5,8,1,2,1,0,7,7,6,7,7,10,10,10,10,7,7,9,7,7,9,3,9,8,9,7,7,8,10,7,9,6,0.4732739910025488,0.7959595959595949
10,8,6,6,6,3,6,5,7,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,10,9,10,10,10,10,10,9,10,9,9,7,9,8,10,10,10,10,10,9,9,8,6,7,9,10,10,9,8,6,7,7,8,9,10,7,10,9,7,9,7,7,6,10,3,7,9,1.1987495480592374,0.10101010101010101
10,8,7,5,5,2,1,4,0,2,3,4,3,5,3,0,2,3,5,2,2,4,0,6,0,5,0,0,3,4,6,5,2,1,1,6,2,1,10,5,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,9,9,8,9,9,10,10,10,10,10,10,10,8,9,9,10,7,10,9,8,8,8,8,10,9,10,9,10,10,9,10,9,7,8,9,7,9,8,0.7115945127694653,0.42020202020202047
10,7,9,4,6,2,1,2,1,1,4,4,3,2,2,2,2,2,5,3,3,2,1,2,3,5,1,0,4,1,6,0,2,1,3,6,2,3,3,5,3,1,3,2,1,6,5,3,1,0,3,4,1,2,2,5,2,0,3,1,6,0,7,2,0,2,3,0,8,6,1,9,6,7,9,9,8,7,10,10,10,10,8,7,9,9,7,10,10,9,9,9,7,7,8,10,8,9,9,0.4911629746201528,0.7535353535353527
