0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,avg utility,avg reliability
10,10,6,4,2,3,0,1,3,2,3,6,2,1,0,1,2,5,0,3,5,4,1,1,4,3,2,5,3,2,1,4,2,2,3,2,2,3,1,2,2,6,1,5,0,3,1,7,1,0,3,4,6,1,2,3,7,2,0,2,4,0,5,0,6,3,2,5,3,4,1,4,7,1,1,5,3,6,6,1,2,3,1,5,6,7,2,7,1,6,4,6,9,6,7,9,10,7,9,0.5816219979036875,0.9422222222222204
10,10,6,4,2,3,3,1,3,2,4,6,2,4,2,1,3,5,3,3,4,4,0,2,4,4,5,5,3,6,1,7,2,2,3,5,3,2,6,2,2,6,0,6,2,2,1,6,1,2,4,5,6,2,1,4,7,6,3,3,4,0,4,0,6,3,6,5,3,4,1,7,6,2,1,6,2,6,6,0,2,4,1,5,6,7,3,7,1,6,4,6,9,5,7,9,10,7,9,0.6848332459897386,0.8802020202020187
10,10,9,4,2,3,4,2,5,2,4,5,2,5,3,6,2,6,5,3,2,4,7,3,4,3,2,5,5,5,2,6,6,4,2,5,3,2,6,5,4,5,2,5,5,2,5,6,1,6,2,4,5,3,2,3,7,5,2,4,4,2,5,4,6,5,6,5,3,3,1,0,5,0,9,6,5,6,7,3,2,0,2,7,6,7,5,6,0,6,7,9,9,10,7,10,10,7,10,0.7955310050865755,0.8147474747474733
10,10,6,4,3,4,3,0,5,2,3,7,1,4,1,7,2,5,2,3,5,4,4,1,4,3,2,5,3,4,1,5,2,3,3,5,5,3,5,2,2,5,1,5,3,2,6,6,1,5,6,4,5,2,0,3,7,0,3,2,4,3,5,3,6,5,2,5,7,2,5,4,4,1,7,6,5,6,6,1,2,3,2,5,6,8,2,1,1,6,7,6,9,5,7,10,10,7,10,0.7153009917556922,0.8618181818181803
10,10,10,6,5,2,6,3,5,5,4,6,1,5,7,3,6,5,4,9,2,6,9,4,5,7,5,5,7,5,6,7,5,5,5,6,5,5,7,5,7,6,4,7,7,4,5,5,5,6,6,6,5,4,9,3,7,7,7,5,5,5,5,6,5,9,6,5,5,3,8,6,5,2,9,6,6,7,7,6,5,5,6,6,6,5,5,9,9,7,9,10,9,10,7,10,10,10,10,1.0405639367043076,0.5810101010101001
10,10,10,6,5,2,6,2,5,6,5,5,6,5,7,4,1,5,6,9,2,6,9,4,5,7,5,5,7,5,6,9,4,5,5,6,5,4,6,5,8,6,4,7,7,4,5,5,5,6,7,6,4,4,9,3,7,4,7,5,6,6,6,6,5,9,6,5,5,2,7,6,6,2,9,6,6,8,7,6,5,5,6,6,6,6,5,9,9,7,9,10,9,10,7,10,10,10,10,1.050853896038558,0.5701010101010092
10,10,6,4,2,3,3,1,2,2,4,6,2,2,0,1,2,5,0,3,4,4,0,2,4,3,2,5,3,1,1,4,3,2,2,5,3,3,2,2,2,6,1,5,2,3,1,6,1,3,4,4,6,3,2,3,4,5,3,5,4,0,5,0,6,3,1,5,3,5,2,7,6,3,0,5,3,7,6,1,2,3,1,5,6,7,3,7,1,6,4,6,9,5,7,10,10,7,10,0.6252425732113361,0.9131313131313115
10,10,6,4,2,3,0,1,2,2,4,6,2,2,0,2,2,5,0,3,4,4,1,1,4,3,2,5,3,1,1,4,2,2,2,5,2,3,1,2,3,6,1,5,0,3,1,6,1,0,3,4,6,0,2,3,7,5,0,2,4,0,4,3,6,3,1,5,3,5,2,7,6,3,1,5,3,5,6,1,2,3,1,5,6,7,2,7,1,6,4,6,9,5,7,10,10,7,10,0.5965394285271485,0.93171717171717
10,10,10,7,5,2,6,2,6,6,5,5,6,5,7,4,5,5,4,9,3,6,9,4,5,6,6,5,7,5,6,9,4,5,5,5,5,5,7,5,8,6,4,7,7,4,5,5,6,1,6,6,5,7,9,3,7,7,7,5,5,6,5,6,5,10,6,5,5,4,8,9,4,2,9,6,4,8,7,6,5,5,6,6,6,8,5,9,9,7,9,10,10,10,8,10,10,10,10,1.0747275298623453,0.5507070707070699
10,10,6,4,2,3,0,1,2,1,3,6,2,1,0,4,2,5,0,3,4,4,1,1,4,3,2,5,3,0,1,4,2,2,3,2,5,3,1,2,0,6,1,6,0,3,1,6,1,0,3,3,6,1,2,2,0,2,3,2,3,0,5,0,6,1,2,1,3,5,1,4,4,2,1,4,5,6,1,1,2,0,1,2,6,7,5,4,1,6,4,6,9,5,7,9,10,7,8,0.5513698356342822,0.9602020202020184
10,10,10,5,2,3,4,1,6,5,4,6,1,5,6,5,2,4,4,5,2,4,5,3,4,5,6,5,3,5,1,6,2,5,2,5,4,3,6,2,5,4,0,6,6,4,5,2,1,6,5,6,5,1,5,4,7,4,4,4,4,2,5,2,6,6,6,5,1,3,4,7,6,2,6,6,2,6,7,6,5,8,2,7,5,7,3,9,7,6,6,10,9,10,7,10,10,10,10,0.8428359259563913,0.7739393939393926
10,10,10,5,2,3,6,3,6,5,2,6,1,5,6,3,6,4,4,6,2,6,6,3,4,5,6,5,3,5,6,6,5,6,2,5,5,5,7,5,7,6,5,7,6,5,5,5,7,6,6,6,5,4,9,3,7,4,7,5,6,5,5,7,5,6,6,5,6,3,8,8,6,2,9,6,5,9,7,6,5,5,6,6,6,4,5,9,6,7,9,10,10,9,9,10,10,10,10,0.9826372534725131,0.6305050505050497
10,10,10,5,2,3,5,2,6,4,4,6,1,5,7,2,6,5,4,5,1,4,6,3,4,5,6,5,3,5,1,6,5,2,5,5,5,3,7,5,6,4,0,7,6,2,5,5,4,9,5,6,4,3,6,4,7,7,7,5,6,7,5,5,5,6,6,5,5,3,6,7,6,3,9,6,4,7,7,6,5,5,5,6,6,7,10,6,9,7,7,10,10,10,9,10,10,10,10,0.9300311533925587,0.6806060606060597
10,10,6,4,2,3,3,0,3,2,3,6,2,3,0,1,2,5,1,3,4,4,1,1,4,4,2,5,3,5,1,5,2,2,2,5,5,3,1,5,2,6,1,5,2,2,6,6,1,1,4,4,6,1,2,3,4,2,3,2,7,2,5,3,5,3,6,5,0,5,2,0,7,0,6,6,5,6,7,1,2,3,1,5,6,6,2,4,0,6,7,5,9,6,7,9,10,7,10,0.6470535070291547,0.9010101010100995
10,10,10,6,5,2,6,2,10,2,5,6,6,5,8,4,6,5,6,9,2,6,10,3,5,7,6,5,7,5,6,8,5,5,6,6,5,4,7,2,7,6,4,7,7,5,5,5,5,6,6,6,5,7,9,3,7,4,7,5,5,5,5,7,6,10,6,5,5,3,7,8,6,2,9,6,6,9,7,7,10,5,1,6,5,4,5,8,9,8,8,10,9,10,10,10,10,10,10,1.0839587248397486,0.5422222222222214
10,10,6,4,3,3,3,0,3,1,3,6,2,1,1,1,2,4,3,0,4,4,1,1,4,3,2,5,3,1,1,4,2,2,3,2,2,3,1,2,2,6,1,5,0,2,1,6,1,1,4,3,6,1,2,3,0,2,3,2,4,0,4,3,6,0,1,2,3,4,2,4,4,0,1,4,2,6,6,1,2,0,2,5,6,7,2,4,1,6,4,6,9,6,7,9,10,7,8,0.5619836525544764,0.9563636363636345
10,10,10,5,2,3,5,2,6,4,4,6,1,5,6,2,6,4,4,5,2,4,6,3,4,4,6,5,3,5,1,7,5,2,5,5,4,3,6,2,4,5,0,6,6,4,5,4,1,6,5,6,4,2,5,4,7,4,4,4,6,3,5,3,5,6,6,5,6,3,4,7,5,2,9,6,5,7,7,6,5,5,5,1,9,7,1,9,6,6,6,10,9,10,8,10,10,10,10,0.8725362776269915,0.7420202020202008
10,10,10,5,2,3,5,3,6,3,4,6,1,5,6,2,6,4,5,6,1,5,6,3,4,6,5,5,3,5,1,7,5,3,5,5,5,2,7,2,5,5,3,7,7,4,5,5,3,6,5,6,4,7,5,4,7,4,7,4,6,5,5,6,5,7,7,5,7,3,8,8,7,2,9,6,5,6,7,6,6,5,6,6,6,4,10,9,9,6,9,10,9,10,9,10,10,10,10,0.9404031725912873,0.6709090909090899
10,10,10,5,5,2,6,2,5,5,4,6,1,5,6,3,6,5,4,9,2,5,6,4,4,6,6,5,4,6,6,7,5,6,5,6,5,5,7,2,7,6,7,7,6,4,5,5,4,6,6,6,5,4,9,4,8,4,7,5,5,5,5,6,5,9,6,5,5,3,7,8,5,5,9,6,4,7,7,7,5,5,6,6,10,4,5,6,9,7,8,10,9,10,8,10,10,10,10,1.0130850524717365,0.6034343434343427
