epsilon_progress,nfe
0,0
25,100
114,1197
172,2295
235,3393
273,4491
309,5589
346,6687
370,7687
402,8781
423,9879
430,10987
449,12043
464,13093
487,14148
508,15203
513,16258
526,17314
543,18370
557,19424
563,20480
571,21535
580,22587
595,23636
600,24691
610,25746
617,26801
625,27856
632,28911
639,29966
649,31018
662,32070
670,33125
680,34180
688,35234
697,36288
703,37342
713,38395
717,39443
721,40495
727,41542
734,42597
737,43648
741,44701
747,45755
751,46805
754,47857
761,48910
770,49965
775,51019
777,52073
787,53127
791,54181
798,55234
800,56290
809,57345
812,58398
818,59452
824,60508
827,61562
830,62618
833,63712
833,64936
835,66165
841,67395
847,68625
855,69850
860,71079
869,72306
876,73535
882,74765
890,75995
899,77224
906,78453
913,79683
918,80913
921,82140
925,83368
930,84595
937,85823
943,87051
947,88278
951,89506
961,90732
969,91961
973,93190
981,94419
984,95648
991,96878
999,98106
1002,99335
1008,100564
1014,101792
1017,103022
1019,104251
1023,105478
1029,106706
1032,107934
1035,109161
1043,110391
1049,111621
1054,112850
1058,114077
1062,115304
1067,116533
1070,117763
1075,118992
1078,120220
1082,121448
1086,122678
1089,123907
1093,125134
1095,126363
1099,127591
1102,128820
1106,130047
1107,131275
1108,132505
1109,133735
1112,134961
1118,136189
1121,137418
1124,138645
1132,139874
1136,141104
1142,142334
1145,143562
1154,144790
1156,146019
1157,147249
1160,148475
1163,149703
1166,150932
1169,152157
1175,153385
1176,154615
1179,155843
1183,157072
1186,158300
1192,159526
1196,160755
1196,161980
1198,163210
1199,164440
1200,165668
1204,166898
1207,168127
1209,169355
1212,170585
1216,171812
1219,173040
1223,174269
1227,175493
1232,176723
1237,177953
1239,179179
1239,180409
1240,181635
1243,182862
1246,184089
1248,185317
1251,186543
1251,187773
1252,189000
1253,190230
1254,191458
1255,192685
1256,193915
1259,195145
1260,196373
1266,197600
1268,198826
1270,200055
1274,201282
1276,202510
1281,203740
1284,204965
1286,206192
1288,207417
1291,208645
1293,209873
1295,211100
1298,212330
1300,213559
1301,214787
1306,216016
1307,217246
1309,218473
1310,219700
1311,220930
1313,222159
1316,223389
1317,224619
1320,225846
1323,227075
1324,228303
1324,229530
1325,230760
1326,231985
1328,233212
1330,234440
1331,235668
1335,236897
1336,238124
1337,239353
1339,240581
1340,241809
1343,243032
1346,244258
1347,245488
1349,246716
1351,247940
1352,249168
1353,250396
1356,251625
1360,252854
1361,254082
1364,255311
1364,256537
1365,257766
1367,258995
1367,260222
1368,261451
1371,262678
1373,263907
1376,265136
1379,266361
1381,267591
1383,268816
1385,270043
1387,271273
1387,272500
1388,273729
1388,274959
1390,276186
1392,277416
1395,278644
1396,279873
1399,281097
1404,282325
1405,283553
1410,284780
1413,286009
1415,287238
1415,288468
1418,289697
1418,290927
1421,292157
1423,293382
1427,294608
1430,295837
1434,297063
1439,298290
1439,299518
1440,300747
1441,301974
1442,303204
1442,304433
1444,305662
1446,306891
1450,308119
1450,309141
1450,310355
1450,311569
1450,312779
1450,313993
1451,315207
1453,316422
1454,317638
1455,318854
1458,320069
1463,321283
1465,322498
1465,323714
1466,324930
1468,326146
1470,327361
1470,328575
1471,329788
1472,331003
1472,332217
1475,333433
1479,334649
1483,335864
1485,337077
1490,338292
1491,339507
1494,340723
1498,341938
1502,343153
1502,344368
1505,345581
1510,346793
1511,348008
1513,349223
1515,350437
1515,351652
1519,352867
1520,354081
1520,355296
1520,356512
1522,357727
1523,358941
1524,360157
1525,361372
1528,362587
1531,363800
1532,365016
1533,366229
1533,367444
1536,368660
1541,369876
1541,371090
1543,372304
1545,373518
1547,374732
1549,375946
1549,377162
1549,378378
1554,379594
1559,380809
1562,382023
1565,383237
1565,384450
1566,385664
1566,386877
1569,388092
1572,389308
1574,390524
1576,391740
1577,392954
1583,394168
1584,395384
1586,396598
1587,397813
1589,399026
1591,400241
1592,401455
1593,402671
1596,403887
1596,405103
1599,406317
1601,407533
1602,408749
1604,409963
1604,411178
1606,412393
1608,413606
1611,414821
1612,416037
1615,417249
1616,418462
1616,419676
1619,420890
1621,422103
1627,423319
1627,424534
1630,425747
1632,426961
1633,428176
1637,429392
1637,430607
1638,431822
1641,433038
1642,434253
1643,435465
1645,436681
1649,437896
1651,439112
1651,440325
1651,441541
1654,442756
1654,443971
1655,445187
1656,446401
1660,447617
1661,448831
1664,450047
1666,451263
1667,452474
1670,453689
1673,454905
1674,456120
1675,457334
1680,458546
1685,459760
1686,460976
1688,462192
1691,463406
1695,464621
1697,465831
1697,467042
1700,468256
1705,469472
1706,470683
1708,471899
1711,473113
1717,474328
1722,475543
1723,476756
1726,477970
1730,479182
1735,480397
1736,481612
1738,482823
1740,484036
1742,485250
1746,486466
1748,487681
1748,488897
1751,490112
1755,491325
1760,492540
1764,493755
1771,494970
1772,496183
1776,497399
1779,498612
1783,499828
1785,501041
1789,502257
1796,503468
1799,504684
1801,505898
1803,507112
1804,508327
1808,509542
1812,510758
1815,511973
1817,513189
1821,514404
1826,515618
1829,516833
1831,518049
1838,519264
1841,520478
1843,521693
1845,522908
1849,524122
1855,525336
1855,526552
1862,527764
1864,528979
1865,530195
1869,531406
1872,532621
1872,533837
1874,535050
1877,536264
1882,537479
1886,538694
1888,539908
1891,541124
1894,542336
1895,543550
1899,544764
1901,545979
1904,547194
1908,548408
1913,549622
1917,550835
1921,552051
1923,553267
1927,554480
1933,555694
1938,556910
1944,558123
1946,559336
1948,560552
1954,561767
1959,562982
1960,564197
1963,565412
1969,566627
1972,567839
1975,569051
1977,570262
1978,571478
1985,572692
1987,573905
1988,575121
1997,576337
1998,577551
2000,578767
2005,579982
2007,581198
2009,582414
2012,583625
2019,584840
2021,586056
2023,587269
2027,588484
2031,589699
2035,590914
2037,592130
2041,593346
2044,594562
2046,595773
2048,596989
2050,598203
2055,599417
2055,600633
2061,601845
2064,603059
2066,604271
2066,605487
2070,606702
2074,607918
2076,609132
2078,610343
2082,611558
2083,612700
2084,613938
2084,615176
2085,616415
2086,617653
2087,618891
2089,620129
2090,621369
2092,622606
2095,623845
2102,625085
2105,626324
2107,627562
2111,628799
2114,630038
2118,631278
2120,632518
2123,633757
2127,634997
2130,636237
2135,637476
2140,638715
2146,639952
2151,641190
2159,642428
2161,643668
2162,644907
2164,646147
2165,647384
2168,648621
2171,649856
2174,651095
2176,652334
2178,653571
2183,654811
2185,656048
2189,657286
2190,658526
2191,659765
2192,661005
2195,662241
2196,663476
2199,664715
2202,665954
2206,667194
2206,668433
2208,669670
2209,670910
2210,672149
2212,673387
2214,674625
2214,675862
2217,677098
2217,678338
2220,679577
2222,680815
2225,682055
2226,683294
2226,684532
2227,685770
2227,687009
2230,688246
2236,689486
2238,690726
2239,691965
2241,693205
2244,694442
2246,695679
2248,696916
2252,698156
2253,699396
2254,700631
2255,701869
2257,703109
2260,704346
2263,705585
2266,706824
2268,708061
2270,709298
2272,710538
2274,711776
2275,713015
2277,714254
2280,715492
2283,716732
2285,717970
2286,719207
2289,720444
2290,721681
2291,722920
2291,724160
2292,725400
2297,726638
2299,727878
2300,729118
2304,730358
2304,731596
2306,732833
2307,734071
2310,735308
2312,736545
2313,737785
2315,739025
2317,740261
2319,741497
2320,742735
2321,743973
2322,745211
2325,746448
2328,747688
2331,748927
2337,750166
2340,751403
2343,752643
2347,753883
2347,755122
2347,756359
2350,757599
2350,758839
2354,760075
2356,761312
2358,762549
2360,763789
2363,765029
2364,766265
2364,767503
2366,768741
2367,769978
2369,771216
2372,772456
2376,773695
2379,774933
2381,776169
2382,777403
2388,778640
2391,779877
2394,781111
2400,782349
2404,783586
2406,784826
2409,786063
2412,787301
2415,788540
2420,789780
2424,791019
2427,792257
2430,793494
2431,794732
2434,795970
2435,797208
2442,798444
2446,799683
2447,800919
2451,802157
2451,803391
2453,804627
2456,805867
2456,807106
2458,808345
2460,809581
2460,810820
2462,812059
2466,813299
2469,814539
2475,815779
2479,817017
2481,818254
2484,819494
2488,820734
2491,821974
2492,823211
2495,824446
2497,825685
2498,826923
2500,828161
2500,829399
2501,830639
2502,831876
2504,833116
2504,834354
2507,835591
2511,836831
2514,838070
2515,839307
2520,840547
2521,841785
2524,843023
2525,844262
2527,845500
2529,846739
2532,847978
2534,849216
2537,850453
2541,851692
2544,852926
2545,854165
2546,855405
2548,856643
2552,857883
2554,859120
2556,860357
2559,861596
2559,862835
2562,864072
2565,865310
2566,866550
2567,867787
2569,869025
2572,870262
2575,871501
2576,872740
2579,873979
2579,875218
2580,876458
2581,877698
2582,878937
2583,880174
2585,881413
2587,882653
2592,883893
2592,885131
2595,886370
2596,887609
2597,888848
2601,890086
2603,891325
2608,892564
2609,893802
2609,895041
2613,896281
2613,897519
2614,898758
2615,899998
2619,901237
2622,902476
2623,903713
2625,904951
2625,906190
2629,907430
2629,908665
2632,909904
2635,911143
2636,912383
2637,913620
2639,914856
2639,916095
2642,917335
2642,918575
2643,919815
2646,921054
2648,922293
2648,923492
2648,924769
2648,926048
2649,927326
2650,928602
2650,929880
2650,931159
2653,932437
2656,933712
2658,934990
2662,936268
2665,937544
2668,938822
2672,940101
2674,941381
2678,942661
2678,943940
2682,945217
2685,946497
2687,947776
2687,949055
2689,950335
2692,951615
2696,952894
2700,954171
2704,955449
2704,956725
2705,958003
2707,959281
2710,960561
2710,961839
2711,963117
2713,964394
2714,965672
2715,966951
2716,968229
2717,969509
2718,970788
2719,972067
2722,973347
2723,974626
2725,975903
2725,977182
2727,978458
2729,979738
2730,981016
2731,982294
2734,983573
2735,984851
2737,986128
2737,987404
2738,988683
2742,989960
2743,991239
2744,992519
2747,993798
2748,995076
2750,996351
2751,997625
2753,998905
