0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,10-p utility,10-p reliability
10,10,7,7,1,2,2,3,2,4,1,2,5,3,3,1,0,2,6,4,1,5,2,1,1,4,0,3,2,2,5,1,1,5,0,4,0,3,0,3,5,2,6,2,2,4,6,0,4,2,5,0,2,2,2,1,0,6,1,3,7,3,3,4,5,2,9,1,5,8,9,10,10,10,10,10,8,8,9,8,10,9,10,7,8,7,7,9,10,7,10,10,7,10,9,8,10,7,9,0.5111572658966083,0.7101010101010095
10,10,7,7,1,2,1,3,2,4,1,2,5,3,3,1,0,1,6,5,1,5,2,1,2,4,0,3,3,2,5,1,1,5,3,4,2,4,0,2,4,2,6,1,2,4,6,0,3,0,5,1,2,3,2,3,5,3,6,5,7,10,10,10,8,10,9,10,10,8,9,10,10,10,10,10,8,8,9,9,10,8,10,7,9,7,8,9,10,8,10,10,7,9,9,8,9,7,9,0.5541388475403412,0.628282828282828
10,10,6,7,1,2,2,3,2,3,1,2,5,3,3,1,0,2,6,2,1,5,2,1,1,6,2,2,2,3,5,1,3,5,0,4,3,0,1,0,6,2,6,2,2,3,6,0,5,1,5,0,2,2,2,4,5,0,1,3,7,2,1,5,0,2,9,0,6,8,7,10,10,10,10,10,8,8,9,8,10,9,10,7,8,7,7,10,10,8,9,10,8,10,9,8,10,7,10,0.5051366581623514,0.7242424242424235
10,10,6,7,1,2,4,3,2,4,1,2,5,0,3,3,3,0,7,2,2,3,1,1,5,4,2,2,1,5,5,0,2,2,3,2,2,2,5,2,2,7,10,9,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,8,10,10,10,8,10,9,10,10,8,10,9,10,10,10,10,8,9,9,9,10,10,9,8,9,7,7,9,10,7,10,9,9,10,10,7,9,6,10,0.6837440017426701,0.4525252525252528
10,10,6,7,1,2,4,3,2,4,1,2,4,0,3,3,3,0,6,2,2,4,1,1,5,4,2,2,1,4,5,0,2,2,3,2,2,3,5,5,2,0,10,7,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,10,8,10,10,10,8,10,9,10,10,8,10,9,10,10,10,10,8,8,9,9,10,10,9,8,9,7,7,10,10,7,10,9,9,10,10,7,10,6,10,0.6725231921061469,0.4626262626262629
10,9,9,3,1,2,1,5,2,0,7,4,10,0,6,10,10,10,10,10,10,10,10,7,10,9,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,8,10,10,8,10,9,10,10,9,9,10,10,10,10,8,10,10,9,10,10,9,8,8,10,7,9,10,7,7,7,7,7,9,10,9,10,7,7,9,10,7,7,9,6,1.0522385588720284,0.17070707070707072
10,10,6,7,1,2,2,3,2,3,1,2,5,4,3,1,0,2,6,2,1,5,2,1,1,7,0,3,2,2,5,1,1,5,0,7,3,3,0,3,5,2,0,1,2,4,6,0,4,1,5,0,1,2,2,7,7,0,1,1,6,2,0,2,0,2,6,0,3,1,0,5,9,2,6,1,8,8,8,8,10,10,10,7,8,7,6,9,10,4,7,10,7,10,7,7,10,7,10,0.47383436078241015,0.8060606060606049
10,10,6,7,1,2,3,3,2,3,1,3,5,3,2,2,3,0,6,2,2,5,1,1,5,5,1,2,1,6,5,1,3,2,5,2,1,5,10,5,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,9,10,9,10,10,8,10,10,9,10,10,10,8,8,9,9,10,9,9,7,9,7,7,10,10,7,10,9,6,10,10,8,9,6,10,0.721825408466504,0.4111111111111113
10,10,6,7,1,2,4,3,1,3,1,2,5,1,3,2,3,1,7,5,1,2,1,1,5,5,2,2,1,4,5,2,5,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,9,10,10,10,9,10,10,10,10,8,10,10,10,8,10,10,10,10,8,10,9,10,10,10,9,8,8,9,9,10,10,9,7,8,7,7,9,10,9,10,9,7,10,10,8,9,7,10,0.7751342853111519,0.3616161616161618
10,9,8,4,2,2,5,3,2,3,2,3,5,1,2,2,0,1,8,5,2,2,0,7,2,9,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,9,10,10,10,10,10,10,10,10,8,10,10,10,10,9,10,10,10,9,9,10,10,10,8,10,10,9,10,10,9,8,8,10,9,9,10,7,7,7,7,7,9,10,9,10,8,7,10,10,7,9,9,10,0.8762758290607223,0.2808080808080809
10,9,9,0,1,5,6,2,2,7,7,5,10,7,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,9,10,8,10,10,8,10,9,10,10,8,9,9,10,10,10,8,10,10,9,10,10,9,8,8,10,7,9,10,7,7,7,7,7,9,10,10,10,8,7,9,10,7,7,9,9,1.1146614359358429,0.1404040404040404
10,10,6,7,1,2,2,3,2,3,1,2,5,4,3,1,0,4,6,2,1,5,3,1,1,6,0,4,2,2,5,1,1,5,3,4,3,3,1,3,5,3,0,1,2,4,6,0,5,1,5,1,1,2,2,7,7,0,1,1,6,2,3,2,0,2,6,0,2,2,0,5,9,2,6,9,8,8,8,9,10,10,10,7,8,7,7,9,10,4,7,10,8,10,7,7,10,7,10,0.492580014627142,0.7545454545454537
10,9,8,4,2,2,4,3,1,3,2,2,5,1,1,5,0,1,8,5,2,5,5,7,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,9,10,10,10,10,10,10,10,10,8,10,10,9,10,9,10,10,10,9,9,10,10,10,8,10,10,9,10,10,9,8,8,10,8,9,10,7,7,7,7,7,9,10,10,10,9,7,9,10,7,8,10,10,0.9066897834078244,0.2616161616161617
10,9,9,0,1,2,6,2,3,7,0,4,10,7,5,10,10,10,10,10,10,10,10,7,10,9,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,8,10,10,8,10,9,10,10,9,10,9,10,10,10,8,10,10,9,10,10,9,9,8,10,7,9,10,7,7,7,7,7,9,10,10,10,8,7,9,10,7,7,9,9,1.0706298872632187,0.1606060606060606
10,9,9,0,0,2,7,2,3,7,7,4,5,7,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,8,10,10,8,10,9,10,10,9,9,9,10,10,10,8,10,10,9,10,10,9,9,8,10,7,9,10,7,7,7,7,7,9,10,10,10,8,7,9,10,7,7,9,9,1.0920884107884437,0.1505050505050505
10,10,8,4,1,2,5,2,2,3,2,3,5,3,1,2,0,3,7,5,2,3,0,0,2,1,6,5,5,5,5,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,9,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,9,9,10,10,10,8,10,10,10,10,10,9,8,8,10,8,9,10,9,7,7,7,7,10,9,10,10,9,7,10,10,8,9,9,10,0.8096109519416108,0.33131313131313145
10,10,6,6,1,2,3,3,2,4,1,2,5,3,3,0,3,1,6,2,2,4,1,1,4,4,2,2,2,2,5,1,1,1,7,2,2,3,6,2,3,0,5,2,1,4,6,2,4,2,10,10,10,10,10,10,10,10,9,10,9,10,10,10,9,10,9,10,10,8,10,10,10,10,10,10,8,8,9,9,10,10,10,6,9,7,7,10,10,4,10,9,9,10,10,7,9,6,9,0.615375795538094,0.5323232323232324
10,10,6,7,1,2,4,3,2,4,1,2,5,0,3,2,3,0,7,5,1,3,1,1,4,4,2,2,1,4,5,0,2,3,4,2,1,0,5,2,9,10,10,9,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,8,10,10,10,8,10,9,10,10,8,10,9,10,10,10,10,8,8,9,10,10,10,9,7,9,7,7,9,10,7,10,9,9,10,10,7,9,6,10,0.6933417078019495,0.44141414141414165
10,10,8,4,1,2,4,2,2,3,1,2,5,3,1,2,3,3,7,5,2,2,1,0,2,2,1,5,5,2,5,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,9,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,9,10,10,10,10,8,10,10,10,10,10,9,8,9,10,8,10,10,9,7,7,7,7,10,9,10,10,8,7,10,10,8,9,9,10,0.7961455277765106,0.3424242424242426
10,10,6,6,1,2,4,3,2,4,1,2,5,3,3,2,0,1,6,2,2,4,1,1,5,3,2,2,3,3,5,1,1,2,3,2,2,3,6,3,5,0,1,2,1,5,5,10,2,3,10,10,10,10,10,10,10,9,9,10,8,10,10,10,9,10,9,10,10,9,10,10,10,10,10,10,8,8,10,9,10,10,9,7,8,7,7,10,10,9,10,10,8,10,10,7,9,7,10,0.6231660874071853,0.5232323232323234
