epsilon_progress,nfe
0,0
29,100
120,1198
175,2292
217,3384
250,4478
279,5575
310,6673
344,7769
370,8866
391,9961
396,11094
408,12099
425,13103
440,14108
456,15111
468,16119
478,17124
488,18132
501,19138
513,20146
525,21152
532,22156
542,23162
549,24170
558,25177
565,26184
573,27189
576,28195
581,29201
585,30205
590,31209
599,32214
609,33219
615,34225
618,35233
624,36241
636,37246
645,38250
652,39257
657,40261
665,41268
675,42273
679,43278
690,44281
694,45288
702,46296
707,47297
713,48304
717,49311
721,50316
728,51321
734,52328
740,53330
746,54335
753,55341
759,56344
769,57349
775,58356
780,59364
787,60367
787,61507
789,62705
792,63903
800,65103
817,66302
823,67500
825,68700
827,69898
834,71098
842,72297
849,73494
853,74692
863,75888
871,77081
876,78276
885,79474
893,80674
900,81870
909,83068
916,84265
923,85465
930,86663
936,87863
942,89060
946,90255
950,91451
954,92649
961,93844
967,95044
975,96237
979,97434
988,98634
992,99832
1003,101028
1010,102227
1018,103424
1022,104622
1027,105822
1027,107022
1035,108218
1040,109415
1042,110614
1047,111813
1050,113010
1056,114207
1062,115404
1068,116602
1070,117799
1074,118997
1078,120195
1079,121394
1082,122591
1086,123790
1087,124988
1089,126186
1090,127385
1093,128584
1097,129780
1099,130980
1101,132177
1101,133376
1104,134574
1106,135772
1106,136969
1106,138169
1108,139369
1108,140568
1110,141765
1111,142962
1117,144161
1119,145360
1122,146557
1125,147756
1126,148953
1126,150153
1128,151348
1128,152547
1129,153747
1131,154945
1133,156145
1134,157345
1134,158543
1135,159740
1136,160939
1138,162138
1138,163337
1140,164536
1144,165733
1145,166931
1146,168128
1148,169325
1149,170524
1149,171720
1150,172920
1152,174119
1152,175318
1152,176518
1153,177715
1154,178915
1156,180114
1157,181314
1158,182511
1158,183709
1162,184908
1164,186107
1165,187304
1169,188503
1171,189699
1172,190897
1172,192097
1172,193294
1174,194492
1175,195688
1176,196886
1176,198086
1176,199283
1178,200480
1178,201678
1180,202876
1182,204076
1183,205276
1184,206474
1188,207674
1189,208873
1195,210070
1199,211268
1202,212466
1203,213666
1203,214861
1203,216057
1205,217254
1205,218453
1206,219649
1206,220846
1207,222045
1208,223244
1209,224444
1214,225642
1214,226842
1215,228042
1216,229241
1216,230441
1218,231639
1219,232834
1221,234031
1223,235228
1224,236426
1226,237624
1227,238822
1228,240020
1230,241218
1232,242415
1234,243615
1236,244812
1237,246006
1239,247205
1239,248405
1240,249602
1240,250801
1242,251998
1243,253195
1244,254395
1244,255592
1246,256790
1246,257989
1246,259187
1246,260385
1248,261583
1250,262778
1250,263978
1251,265174
1251,266367
1252,267565
1253,268763
1256,269961
1256,271160
1256,272356
1257,273552
1260,274749
1260,275948
1261,277145
1262,278345
1263,279544
1264,280742
1268,281942
1271,283141
1272,284339
1273,285537
1274,286735
1275,287933
1279,289128
1285,290327
1285,291525
1286,292723
1288,293921
1290,295117
1292,296315
1293,297513
1294,298712
1295,299908
1296,300918
1296,302035
1296,303154
1296,304271
1298,305389
1300,306508
1302,307626
1303,308746
1304,309865
1304,310978
1307,312096
1309,313216
1310,314335
1311,315453
1312,316572
1313,317690
1314,318804
1320,319920
1321,321034
1322,322152
1322,323272
1323,324391
1324,325509
1327,326627
1329,327746
1329,328863
1330,329983
1331,331102
1334,332222
1336,333342
1336,334462
1340,335582
1341,336700
1344,337820
1347,338935
1348,340055
1350,341173
1353,342292
1356,343410
1358,344528
1358,345647
1361,346763
1361,347881
1364,349000
1367,350119
1368,351239
1369,352359
1370,353477
1372,354597
1372,355714
1373,356833
1375,357950
1376,359068
1376,360181
1377,361296
1381,362414
1382,363532
1382,364650
1382,365767
1387,366884
1388,368003
1389,369122
1389,370241
1391,371359
1391,372478
1392,373597
1392,374717
1392,375835
1393,376953
1398,378073
1400,379186
1402,380301
1404,381421
1406,382541
1407,383661
1409,384779
1411,385899
1413,387016
1415,388135
1418,389252
1424,390371
1424,391488
1426,392607
1428,393725
1431,394845
1432,395961
1434,397079
1434,398197
1437,399314
1439,400431
1439,401548
1440,402667
1440,403781
1441,404901
1444,406019
1445,407137
1448,408256
1451,409375
1453,410495
1456,411614
1460,412733
1462,413853
1463,414967
1464,416085
1465,417203
1469,418322
1469,419441
1472,420561
1473,421681
1476,422801
1478,423921
1479,425040
1481,426158
1482,427277
1484,428395
1486,429515
1487,430632
1488,431747
1488,432867
1493,433983
1494,435100
1496,436218
1499,437338
1501,438457
1502,439575
1503,440693
1503,441812
1504,442929
1505,444048
1505,445167
1508,446287
1508,447407
1509,448525
1511,449644
1513,450764
1514,451881
1518,453001
1519,454119
1523,455239
1524,456358
1524,457477
1527,458597
1528,459715
1528,460833
1528,461953
1529,463071
1530,464191
1532,465311
1532,466430
1534,467548
1535,468662
1538,469781
1540,470899
1541,472018
1543,473137
1545,474254
1549,475374
1551,476492
1551,477612
1553,478730
1553,479849
1555,480968
1556,482086
1558,483205
1558,484324
1560,485443
1561,486563
1561,487683
1563,488803
1568,489923
1569,491042
1570,492162
1573,493281
1576,494399
1576,495517
1577,496636
1579,497753
1580,498870
1580,499984
1580,501104
1583,502221
1584,503337
1586,504451
1587,505569
1590,506687
1593,507804
1593,508923
1595,510042
1595,511159
1599,512278
1602,513397
1603,514515
1604,515633
1605,516753
1605,517872
1607,518991
1609,520109
1611,521228
1612,522343
1614,523463
1615,524581
1616,525699
1618,526818
1619,527938
1621,529054
1626,530171
1626,531288
1627,532408
1627,533523
1627,534641
1628,535761
1629,536876
1632,537994
1633,539112
1633,540230
1634,541350
1635,542469
1635,543586
1635,544706
1637,545821
1638,546940
1640,548056
1641,549175
1642,550294
1644,551412
1644,552530
1644,553646
1645,554765
1646,555883
1648,557002
1649,558122
1653,559242
1654,560360
1654,561478
1654,562595
1654,563715
1658,564835
1659,565955
1661,567074
1663,568193
1665,569313
1665,570431
1666,571550
1669,572670
1670,573790
1671,574908
1672,576028
1673,577148
1676,578267
1676,579387
1676,580490
1676,581738
1676,582986
1677,584232
1677,585477
1678,586724
1679,587972
1683,589219
1684,590466
1686,591711
1689,592958
1693,594206
1694,595454
1695,596700
1695,597944
1697,599192
1701,600439
1701,601687
1702,602934
1703,604173
1703,605421
1704,606669
1705,607916
1707,609161
1708,610409
1710,611655
1713,612899
1714,614145
1714,615393
1717,616637
1717,617883
1717,619129
1718,620375
1721,621623
1722,622868
1726,624115
1726,625361
1726,626608
1729,627853
1730,629101
1732,630348
1736,631596
1736,632844
1736,634090
1736,635334
1736,636580
1739,637827
1740,639073
1741,640321
1742,641567
1743,642813
1747,644061
1748,645309
1754,646557
1758,647805
1758,649050
1763,650297
1770,651544
1775,652790
1778,654038
1780,655284
1782,656529
1782,657776
1784,659023
1788,660268
1788,661515
1791,662762
1795,664009
1796,665255
1798,666502
1804,667747
1805,668995
1808,670243
1809,671491
1813,672739
1817,673987
1819,675233
1820,676480
1823,677727
1827,678975
1830,680222
1834,681469
1838,682715
1841,683962
1846,685208
1849,686456
1851,687702
1855,688950
1863,690197
1868,691443
1873,692690
1879,693938
1879,695185
1883,696432
1891,697680
1893,698924
1896,700170
1899,701417
1900,702661
1905,703908
1910,705154
1915,706402
1921,707650
1923,708894
1928,710136
1930,711383
1935,712631
1939,713878
1943,715126
1946,716373
1948,717621
1953,718867
1958,720114
1964,721359
1965,722606
1967,723854
1968,725101
1970,726348
1974,727595
1978,728838
1979,730086
1982,731333
1982,732579
1984,733826
1988,735073
1990,736318
1992,737565
1995,738813
1999,740057
2002,741303
2004,742550
2006,743797
2008,745045
2011,746293
2016,747540
2019,748785
2022,750033
2025,751278
2029,752525
2033,753771
2037,755018
2039,756262
2041,757510
2043,758755
2044,760002
2047,761248
2047,762494
2048,763742
2050,764990
2053,766235
2055,767481
2058,768727
2063,769973
2066,771218
2067,772463
2068,773710
2075,774958
2080,776206
2084,777452
2087,778699
2090,779947
2090,781192
2094,782438
2098,783682
2099,784929
2101,786176
2107,787421
2113,788669
2114,789915
2116,791159
2118,792406
2119,793654
2120,794900
2124,796146
2126,797391
2127,798637
2128,799883
2133,801131
2135,802379
2137,803625
2140,804871
2143,806119
2153,807363
2157,808607
2159,809851
2161,811094
2165,812338
2168,813584
2169,814830
2175,816078
2178,817324
2182,818565
2186,819813
2187,821061
2189,822309
2191,823555
2193,824799
2197,826046
2200,827293
2204,828535
2208,829781
2209,831029
2213,832272
2213,833519
2214,834764
2218,836008
2219,837253
2220,838501
2220,839748
2224,840995
2226,842241
2230,843484
2232,844732
2234,845974
2237,847222
2238,848470
2240,849715
2241,850963
2246,852209
2246,853457
2250,854702
2256,855950
2258,857197
2259,858444
2263,859690
2266,860938
2269,862181
2270,863429
2272,864672
2277,865919
2279,867166
2281,868414
2283,869660
2283,870907
2285,872155
2286,873402
2287,874649
2289,875890
2293,877136
2294,878384
2296,879631
2298,880879
2299,882126
2299,883374
2303,884620
2303,885868
2304,887112
2305,888360
2311,889607
2315,890853
2316,892016
2316,893230
2316,894441
2317,895657
2318,896872
2318,898087
2318,899299
2320,900513
2320,901726
2322,902941
2322,904156
2323,905372
2323,906585
2323,907801
2324,909016
2324,910230
2324,911444
2324,912659
2327,913874
2329,915090
2330,916304
2334,917520
2336,918736
2339,919948
2342,921162
2347,922375
2351,923591
2353,924805
2355,926020
2358,927236
2363,928451
2365,929664
2371,930875
2375,932091
2381,933306
2384,934522
2385,935737
2388,936952
2389,938167
2391,939379
2391,940595
2393,941811
2398,943026
2399,944240
2402,945456
2404,946671
2410,947882
2413,949097
2415,950311
2418,951523
2423,952737
2424,953953
