0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,avg utility,avg reliability
10,9,8,1,5,3,3,0,5,3,2,4,2,1,3,2,2,5,5,0,5,2,6,3,3,1,2,3,6,1,5,1,2,5,5,2,2,7,1,1,4,2,6,2,5,2,4,6,5,1,0,4,5,2,5,4,8,1,4,2,4,3,2,6,1,1,4,8,1,6,5,3,2,1,5,4,4,6,0,1,7,2,7,4,7,1,6,0,7,6,1,7,6,10,7,10,7,8,10,0.6653242693415392,0.8905050505050488
10,10,7,1,5,3,3,0,5,0,1,2,2,2,4,2,2,2,5,1,4,2,5,3,3,1,2,3,4,1,1,2,2,5,6,2,2,7,0,0,4,2,6,2,5,0,4,6,5,2,3,3,5,2,3,4,0,5,4,2,4,2,5,5,6,2,4,5,1,1,4,7,3,2,5,6,4,6,1,2,7,1,6,6,5,1,6,0,6,5,0,9,6,10,7,10,8,8,10,0.6271901604924691,0.9119191919191902
10,9,7,1,5,3,2,1,5,0,2,3,2,1,4,2,2,2,5,1,4,1,5,3,2,1,2,3,4,2,6,1,2,5,1,2,2,4,1,0,3,2,0,5,5,0,4,6,2,1,0,3,4,2,3,5,0,2,3,2,7,2,2,6,6,2,5,5,1,1,4,7,0,1,5,6,4,6,2,2,7,0,6,7,5,1,6,0,7,5,2,7,6,10,7,10,8,7,10,0.594425793737097,0.9333333333333316
10,10,8,9,4,2,3,6,4,6,2,7,5,5,7,5,5,5,6,5,7,6,6,6,3,10,7,3,4,7,7,5,6,5,6,5,6,7,5,6,5,5,5,5,6,5,6,6,6,6,6,5,7,5,6,6,5,5,5,9,6,2,5,10,5,6,5,7,6,6,5,5,5,6,7,8,4,9,7,6,4,7,6,8,3,8,6,6,4,10,7,10,10,10,8,8,10,10,10,1.06135492566509,0.5610101010101002
10,10,8,6,4,3,3,6,4,1,5,4,5,2,7,4,1,5,5,2,5,6,6,4,0,6,5,2,4,4,5,3,4,5,6,3,5,6,1,4,4,6,5,5,6,2,2,6,1,6,6,5,6,2,2,6,4,6,7,6,4,3,5,6,5,1,5,7,6,1,6,5,5,7,6,6,4,6,7,6,4,7,6,8,5,7,7,6,7,1,7,10,10,10,8,10,10,10,10,0.8738282114303595,0.7418181818181807
10,10,9,9,4,7,3,6,4,6,5,7,5,5,7,5,5,6,6,6,7,6,6,6,3,9,4,4,4,6,6,6,5,6,6,4,6,6,6,7,6,5,5,5,6,5,6,6,7,6,6,5,7,4,6,6,5,6,5,9,6,3,5,10,2,6,5,7,7,7,4,6,5,4,9,8,4,9,7,6,7,7,6,8,4,6,10,6,8,10,8,10,10,10,9,10,10,10,10,1.1029700867671304,0.523838383838383
10,10,8,6,4,3,3,6,5,3,5,4,5,2,7,4,2,5,5,2,4,6,6,6,1,5,4,2,4,4,5,4,5,5,6,2,5,9,2,3,5,6,2,5,6,5,2,6,7,6,6,5,6,5,5,6,5,6,4,9,7,2,2,9,5,6,5,6,7,6,5,5,5,7,6,6,4,6,7,7,4,7,6,8,6,7,6,5,7,10,6,9,10,10,8,10,10,10,10,0.9339051686561645,0.6761616161616152
10,10,8,6,4,3,3,6,4,1,5,4,5,2,7,4,2,5,5,2,5,5,6,4,1,6,5,2,4,4,5,3,3,6,5,2,5,6,1,4,4,6,5,5,6,2,3,6,1,6,6,5,6,2,3,5,5,5,4,6,7,3,5,6,5,1,5,8,6,1,6,5,6,7,6,6,4,6,7,6,4,7,6,8,5,7,6,6,7,9,7,10,10,10,8,10,9,9,10,0.8800886489740805,0.7335353535353524
10,10,8,2,5,3,3,1,5,1,2,5,2,2,6,2,2,5,5,3,4,2,5,2,2,6,5,3,6,1,5,2,3,5,2,2,1,7,3,3,4,2,6,2,5,2,4,6,2,2,7,0,5,2,5,4,2,4,4,2,4,2,2,6,5,2,5,5,6,6,4,0,7,1,2,6,4,7,1,6,7,1,4,7,5,1,6,2,7,5,0,6,6,10,7,10,8,9,10,0.7157705627548547,0.8618181818181802
10,10,8,6,4,3,3,6,5,1,5,4,5,2,7,4,2,5,5,2,4,5,6,6,0,5,6,3,4,5,5,4,3,5,6,2,6,6,2,4,4,4,2,5,6,5,2,6,3,6,6,5,6,2,5,6,5,6,4,5,4,2,4,9,5,1,5,7,6,6,6,5,5,7,6,6,7,6,7,6,4,7,6,7,6,7,6,5,7,10,7,10,10,10,8,10,10,10,10,0.9005740549609783,0.7115151515151505
10,10,8,6,4,3,3,2,4,1,5,4,5,2,7,3,2,5,4,2,4,5,6,3,0,6,5,2,5,3,6,3,4,5,5,3,5,7,2,3,4,5,5,5,6,2,2,6,1,1,5,6,6,2,2,6,6,0,7,2,4,2,5,6,5,1,5,5,6,1,5,5,5,0,5,6,4,6,7,1,7,0,6,8,5,0,6,6,8,5,7,6,5,10,8,10,9,10,10,0.801041064814879,0.8101010101010087
10,10,9,6,4,3,3,9,4,6,5,7,5,5,7,5,6,6,6,6,7,6,6,6,3,5,7,5,7,6,4,5,5,5,6,5,6,7,5,7,5,5,5,5,6,5,5,6,7,5,6,5,6,5,6,6,5,5,5,6,6,3,5,9,5,6,5,8,6,7,5,6,5,7,6,5,4,9,7,6,4,7,6,9,2,8,5,5,7,10,7,10,10,10,8,9,10,10,10,1.0713755733383226,0.5537373737373729
10,9,7,1,5,3,3,0,5,1,2,5,2,2,5,2,2,5,5,3,4,2,5,2,2,6,5,3,4,2,6,2,2,5,6,2,2,7,0,3,4,3,6,2,5,1,5,6,5,2,0,4,5,2,5,4,0,5,4,2,4,2,5,5,2,2,4,6,6,1,4,2,7,1,5,6,7,6,2,1,7,1,5,6,5,6,6,0,7,5,1,6,6,10,7,10,9,9,10,0.7012101653297204,0.8711111111111096
10,10,9,9,4,3,3,6,4,6,2,7,5,5,7,5,6,6,6,5,7,6,7,6,3,5,7,4,7,7,7,5,5,6,6,5,6,7,5,7,6,5,5,5,6,5,6,6,7,6,6,5,7,5,5,6,5,5,7,9,6,3,5,10,5,6,5,4,6,7,6,6,5,7,6,7,4,8,7,6,4,7,6,8,3,8,5,5,7,10,7,10,10,10,9,9,10,10,10,1.081955654999325,0.543838383838383
10,10,9,6,4,3,3,6,4,1,5,4,5,4,7,5,1,5,6,5,4,6,6,6,2,5,4,2,7,4,5,5,5,5,6,5,6,6,6,7,5,6,5,5,6,5,6,6,7,6,6,6,6,6,5,6,6,6,5,6,7,2,5,9,5,6,5,7,6,6,5,5,6,7,6,6,4,9,7,6,4,7,6,5,6,8,5,6,7,10,7,9,10,10,8,10,10,10,10,0.9929569773321184,0.6210101010101001
10,10,8,6,4,2,4,6,4,1,5,4,5,2,7,5,2,5,5,2,4,6,5,2,1,5,5,3,4,5,6,1,4,5,6,0,6,6,2,3,3,6,1,6,5,2,2,4,0,6,7,5,5,3,4,4,5,5,5,2,4,2,5,6,5,1,6,6,6,1,5,2,7,0,6,6,4,6,6,1,4,7,6,4,4,7,6,6,6,5,6,10,9,10,8,9,9,9,10,0.8259252954944257,0.7915151515151502
10,10,9,6,4,3,3,5,4,2,5,4,5,2,7,4,5,5,5,1,4,6,6,6,3,5,5,4,0,5,6,5,4,5,6,2,6,6,2,7,5,5,5,6,6,5,5,6,6,6,6,5,6,4,5,6,6,7,5,6,7,2,5,9,5,6,5,7,6,7,6,5,5,7,6,5,4,6,7,6,4,7,6,8,5,7,5,6,7,10,7,10,10,10,9,10,10,10,10,0.9570449980895336,0.6543434343434336
10,9,7,1,5,3,2,1,4,2,2,3,2,2,3,2,2,2,4,0,4,2,5,3,0,1,2,3,6,3,1,2,2,5,1,2,2,4,1,0,3,5,1,2,5,1,4,6,0,2,0,3,4,3,3,4,0,2,5,2,0,3,2,5,2,2,2,6,1,0,5,0,4,1,5,6,4,7,1,1,0,0,6,7,5,0,6,1,7,5,4,7,6,10,7,5,8,7,10,0.5644888569844314,0.9541414141414124
10,10,8,6,4,3,4,6,4,1,5,3,5,2,7,2,3,5,5,2,4,6,6,2,1,5,5,2,4,5,6,2,4,5,5,2,6,6,3,3,4,5,4,2,5,2,4,5,1,6,6,4,5,2,3,7,5,2,6,5,4,2,2,6,4,1,5,6,6,6,6,2,7,0,7,5,4,6,0,6,7,1,6,4,7,7,6,1,7,10,7,9,10,10,8,9,10,9,10,0.8323950788573226,0.784242424242423
10,10,8,6,4,3,3,6,4,2,5,3,5,2,7,5,2,5,5,2,4,5,6,6,0,5,5,2,5,4,5,2,3,5,5,1,6,5,3,4,4,5,6,5,6,2,4,6,0,6,5,4,5,2,4,5,1,6,4,6,7,2,3,5,5,6,5,6,6,0,5,5,5,0,6,6,4,6,7,7,4,7,6,4,5,7,6,6,6,10,7,10,10,10,9,10,9,10,10,0.8607437290934206,0.7557575757575745
10,10,8,6,4,3,3,6,5,2,5,4,5,2,7,4,2,5,5,2,4,6,6,6,1,5,6,2,2,4,5,5,3,5,6,2,6,5,2,4,5,5,5,5,6,5,3,6,7,6,1,4,5,3,5,6,5,6,5,6,7,2,4,5,5,6,5,6,6,7,5,6,5,7,6,5,4,9,7,7,4,7,6,8,6,7,6,5,6,10,7,10,10,9,8,10,10,10,10,0.9143855335910732,0.6967676767676758
10,10,9,9,7,3,2,6,4,6,5,7,5,5,7,5,5,6,6,6,6,6,6,6,2,9,7,3,7,7,7,5,5,6,6,4,6,6,6,7,5,5,4,5,6,5,6,6,6,6,6,5,7,7,6,5,5,6,5,9,6,2,5,10,4,6,5,7,6,7,6,5,5,8,6,7,4,7,7,6,4,7,7,8,2,8,6,6,7,10,7,10,10,10,8,9,10,10,10,1.0940472302298085,0.5325252525252516
10,10,8,6,4,3,3,6,4,1,5,3,5,2,7,5,2,5,5,2,5,5,6,5,0,2,5,3,4,5,5,3,2,5,5,2,6,6,3,4,4,2,6,5,6,2,4,5,0,6,6,5,6,2,4,4,1,6,4,5,4,2,3,5,5,6,5,7,6,1,5,5,6,0,6,6,4,6,4,7,4,6,7,4,5,7,6,6,5,10,7,10,9,10,9,9,9,10,10,0.8458135727152922,0.77131313131313
10,10,8,9,4,3,3,6,4,4,5,7,5,2,7,5,5,6,5,6,4,6,6,7,3,6,7,3,7,7,7,5,5,5,6,5,6,6,5,7,5,6,5,5,6,5,6,6,6,6,6,5,7,4,5,7,5,6,5,9,6,2,5,10,5,6,5,7,6,7,6,5,5,7,5,8,4,6,7,6,4,7,6,8,2,8,5,5,7,10,7,10,10,10,8,9,10,10,10,1.0516953422160287,0.5707070707070698
10,9,7,1,5,3,2,1,4,1,2,3,2,1,3,2,2,2,4,3,4,2,5,3,0,1,2,3,6,0,6,2,2,5,1,2,2,4,1,0,3,2,1,2,5,1,4,6,0,2,0,0,4,3,3,4,0,2,2,2,0,3,2,5,2,2,5,6,1,0,5,0,5,1,5,1,4,6,0,0,0,0,6,7,5,0,6,1,7,2,1,7,6,10,7,5,7,7,10,0.5484500713368565,0.9616161616161598
10,10,9,9,6,6,3,7,4,6,7,7,5,5,7,5,6,6,6,5,7,6,5,7,3,9,7,4,4,6,6,7,5,6,6,5,6,6,6,7,6,5,4,10,6,5,6,6,6,6,6,5,7,8,6,2,5,7,6,6,6,3,10,10,0,9,5,8,7,8,7,5,5,6,10,6,7,10,6,7,9,8,9,9,5,10,5,10,9,10,10,10,10,10,9,10,10,10,10,1.1604268748043354,0.46444444444444377
10,9,7,0,5,2,2,1,4,5,1,5,2,1,3,2,2,2,5,0,4,2,5,4,3,1,2,3,5,1,6,2,2,5,1,2,2,7,0,3,4,3,6,2,5,0,4,6,6,1,2,4,5,2,4,5,2,2,4,2,4,2,2,4,5,1,5,7,6,0,5,0,6,1,5,6,4,7,3,1,7,0,6,6,5,0,7,2,7,5,3,6,6,10,7,10,7,9,10,0.644217686779124,0.9024242424242409
10,10,8,6,4,3,3,6,4,4,5,4,5,3,7,4,5,5,6,5,4,6,6,6,1,6,5,5,7,6,5,6,4,5,6,5,6,6,6,7,5,6,5,5,6,5,6,6,7,6,6,6,6,5,5,6,6,6,5,6,7,2,5,9,5,6,5,7,7,6,5,5,5,7,6,6,4,6,7,6,4,7,6,6,5,8,5,5,7,10,7,9,10,10,9,10,10,10,10,1.0144210180259252,0.602828282828282
10,10,8,1,5,3,3,0,5,1,2,5,2,1,5,2,2,5,5,3,4,1,5,2,1,6,2,3,7,2,6,1,2,5,5,2,2,7,1,0,4,2,6,2,5,1,4,6,6,2,2,4,5,2,5,4,0,5,4,2,4,2,5,5,2,2,4,4,6,1,4,2,7,1,5,6,4,6,2,1,7,2,5,5,5,6,6,1,7,3,1,6,6,4,8,10,9,8,10,0.6837649173584301,0.8810101010100995
10,10,9,6,4,3,3,6,5,1,5,3,5,5,7,5,2,5,6,5,4,6,6,6,3,5,5,2,7,7,5,5,5,5,6,5,6,6,6,7,5,6,5,5,6,5,6,6,6,6,6,6,6,5,5,6,6,6,4,6,7,2,5,9,4,6,5,7,6,7,6,5,6,7,6,6,4,9,7,6,4,7,6,5,6,8,5,5,6,6,7,10,10,10,8,10,10,10,10,1.0035794790592205,0.6113131313131305
10,10,8,2,5,3,3,0,5,2,2,5,2,2,5,5,2,5,5,3,4,1,5,3,3,6,5,3,5,2,5,2,2,5,6,2,2,7,0,3,4,2,6,2,5,0,7,6,6,2,5,4,5,2,5,4,3,5,4,5,4,2,4,6,2,3,4,5,6,5,4,2,7,1,5,5,4,6,3,1,7,1,5,6,5,1,6,0,7,5,6,6,6,9,8,10,9,9,10,0.7454558693145973,0.8430303030303016
10,10,9,9,4,4,3,7,4,6,6,7,5,6,7,5,6,6,6,6,7,6,5,6,3,9,7,5,4,6,5,6,5,6,6,5,6,6,6,7,6,4,4,10,6,5,6,6,6,6,6,5,5,7,6,4,5,6,6,9,6,2,5,10,5,6,5,7,6,6,7,6,5,8,9,8,4,7,7,5,4,7,7,8,5,8,10,10,7,10,9,10,10,10,10,10,10,10,10,1.1240179209174996,0.5052525252525245
10,10,8,6,4,3,4,6,5,3,5,4,5,2,7,4,2,5,5,2,4,5,6,7,0,5,5,2,2,5,5,5,3,5,6,5,6,5,2,4,4,6,2,5,6,5,3,6,6,6,1,5,6,2,5,6,6,6,5,6,7,2,4,9,5,6,5,6,6,7,6,5,5,7,5,6,4,9,7,6,4,7,6,8,5,7,6,5,6,10,8,10,10,10,8,10,10,10,10,0.9250837955081921,0.6852525252525242
