0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,10-p avg_pollution,10-p utility,10-p inertia,10-p reliability
1,1,0,0,2,0,1,0,1,0,0,5,5,2,1,7,2,6,8,4,2,6,1,6,1,2,6,2,7,6,7,1,0,0,3,1,10,3,2,2,3,2,7,1,3,0,1,5,2,6,0.16012715299031352,0.1269339554404754,0.44897959183673486,0.224
2,2,0,0,2,1,0,1,1,7,10,5,9,7,6,8,5,6,5,5,3,1,5,6,5,3,2,2,6,4,4,7,1,6,1,1,1,2,1,3,4,1,3,1,0,3,1,2,3,6,0.1833955373142523,0.19822965741159754,0.612244897959184,0.188
5,1,0,1,3,2,0,0,6,10,10,9,7,7,7,6,6,5,10,4,1,8,9,2,3,7,6,6,9,1,5,5,4,1,2,3,7,1,2,2,3,1,0,1,0,0,5,7,2,4,0.2055232641019981,0.2530192911868716,0.5918367346938779,0.15600000000000003
6,2,0,2,1,0,0,2,6,7,6,6,10,5,10,6,7,5,4,4,2,6,6,7,6,6,6,5,6,6,4,4,3,6,1,7,6,2,2,0,1,1,3,1,2,1,1,2,5,5,0.2018316442482104,0.24114594748592602,0.6326530612244902,0.168
6,1,0,0,1,0,0,1,3,7,10,10,10,7,6,6,6,5,2,6,2,2,6,5,6,0,5,5,5,2,4,1,4,5,1,2,2,3,1,0,2,1,0,1,0,3,3,3,4,6,0.18280520751088644,0.21372660845570157,0.6530612244897963,0.17600000000000002
10,1,3,1,1,1,2,6,6,5,6,4,5,4,6,6,6,1,3,4,4,3,1,3,1,2,2,1,2,3,3,3,3,1,3,1,2,2,2,2,2,3,3,1,3,1,2,3,7,6,0.1686869699827672,0.2157583741052645,0.9183673469387762,0.12400000000000003
1,3,0,0,0,1,0,1,0,2,5,5,5,6,5,7,5,6,5,2,1,0,7,2,5,3,2,1,6,2,3,1,3,1,3,1,1,2,2,5,3,4,0,1,2,1,1,2,4,6,0.15184174954680577,0.14277295827079733,0.6734693877551025,0.216
6,2,0,1,0,0,0,0,1,0,9,9,8,5,7,6,6,6,4,4,6,0,3,2,0,2,2,1,0,0,4,3,3,1,1,0,1,1,2,2,0,2,0,1,0,1,3,3,1,0,0.15274532992909845,0.16686222832701697,0.7346938775510209,0.196
1,2,0,1,1,0,0,0,1,1,9,9,2,6,6,6,6,6,6,5,5,8,1,3,1,0,2,1,2,0,2,3,4,1,2,0,1,1,2,1,1,1,0,1,2,1,0,3,4,6,0.15387638941778428,0.15228464338514494,0.755102040816327,0.208
9,2,0,0,0,1,0,7,5,6,9,5,9,7,9,6,7,6,4,7,5,4,5,5,7,1,6,2,3,8,3,2,3,0,6,1,2,2,2,5,1,7,0,1,1,1,0,2,0,5,0.19428767627450916,0.2512257777073947,0.469387755102041,0.15600000000000003
4,5,0,0,0,1,0,1,9,10,10,9,10,5,6,9,6,5,1,7,2,3,6,7,6,3,6,2,6,4,4,7,0,2,6,2,2,2,1,1,6,3,3,1,3,1,0,3,4,7,0.20225926514063983,0.2500833512833158,0.5510204081632656,0.168
