epsilon_progress,nfe
0,0
55,100
276,1195
405,2289
492,3383
570,4478
634,5573
699,6668
760,7765
812,8854
871,9950
884,11406
940,13070
1020,14734
1099,16398
1182,18062
1267,19725
1322,21387
1390,23046
1453,24710
1506,26371
1563,28035
1622,29699
1678,31360
1738,33024
1791,34687
1851,36351
1898,38014
1945,39678
1982,41342
2021,43002
2054,44664
2097,46328
2139,47992
2171,49655
2199,51319
2231,52982
2264,54644
2297,56307
2327,57970
2360,59634
2396,61298
2425,62962
2455,64624
2475,66288
2506,67952
2541,69614
2571,71278
2598,72941
2627,74605
2644,76269
2667,77933
2691,79595
2706,81259
2729,82923
2751,84586
2776,86250
2791,87914
2818,89577
2839,91240
2856,92904
2869,94714
2871,96015
2871,97319
2872,98623
2873,99926
2880,101230
2890,102534
2903,103838
2911,105141
2920,106445
2937,107748
2953,109052
2976,110354
2996,111658
3020,112958
3038,114262
3060,115566
3077,116869
3099,118172
3115,119475
3131,120778
3146,122081
3164,123385
3185,124688
3199,125991
3225,127293
3245,128597
3258,129901
3270,131205
3286,132508
3295,133810
3314,135112
3331,136416
3347,137719
3355,139023
3367,140327
3379,141631
3391,142935
3402,144238
3414,145542
3431,146846
3440,148150
3451,149454
3465,150758
3477,152061
3485,153365
3499,154669
3509,155973
3515,157275
3526,158579
3534,159882
3544,161186
3554,162490
3566,163794
3575,165097
3584,166400
3597,167704
3606,169006
3619,170310
3634,171614
3644,172918
3656,174222
3666,175524
3679,176828
3693,178132
3700,179436
3709,180738
3721,182041
3730,183345
3742,184649
3756,185953
3762,187257
3785,188561
3797,189865
3806,191169
3812,192473
3817,193777
3827,195081
3838,196384
3846,197686
3858,198990
3865,200294
3874,201597
3879,202900
3891,204203
3899,205507
3909,206811
3915,208115
3926,209419
3939,210723
3942,212024
3953,213328
3958,214631
3971,215935
3980,217238
3990,218541
3995,219845
4004,221148
4010,222450
4015,223754
4029,225056
4035,226360
4038,227664
4049,228968
4055,230270
4067,231574
4079,232877
4094,234179
4109,235483
4125,236787
4130,238090
4139,239393
4144,240696
4152,241999
4154,243303
4162,244607
4171,245909
4180,247213
4192,248517
4203,249821
4208,251125
4223,252428
4231,253732
4237,255036
4241,256340
4250,257644
4258,258948
4268,260252
4274,261556
4283,262858
4294,264162
4296,265466
4302,266770
4308,268074
4311,269378
4316,270681
4324,271985
4332,273286
4335,274590
4340,275893
4345,277197
4351,278501
4362,279804
4370,281108
4375,282411
4382,283715
4392,285019
4398,286320
4405,287624
4409,288928
4415,290232
4420,291536
4426,292838
4431,294142
4434,295446
4438,296750
4442,298054
4446,299358
4450,300662
4459,301966
4468,303270
4473,304574
4478,305878
4482,307182
4487,308486
4491,309790
4492,311094
4501,312398
4506,313702
4509,315006
4515,316310
4519,317614
4525,318918
4529,320221
4535,321524
4539,322827
4544,324130
4550,325433
4553,326737
4557,328040
4565,329342
4571,330643
4575,331947
4578,333251
4585,334555
4592,335859
4599,337162
4601,338465
4602,339768
4607,341071
4612,342375
4616,343677
4618,344981
4624,346285
4625,347588
4632,348891
4640,350195
4643,351499
4647,352803
4650,354105
4658,355409
4667,356713
4673,358017
4678,359321
4681,360624
4685,361928
4690,363231
4694,364535
4701,365839
4704,367141
4708,368445
4712,369748
4718,371052
4722,372356
4726,373659
4727,374963
4737,376267
4740,377571
4747,378875
4752,380179
4754,381483
4759,382785
4761,384089
4765,385393
4768,386697
4772,388001
4780,389303
4784,390607
4789,391911
4794,393215
4800,394519
4809,395822
4812,397126
4816,398430
4819,399734
4822,401038
4827,402341
4829,403645
4832,404949
4833,406251
4836,407555
4838,408858
4840,410162
4844,411466
4845,412769
4847,414071
4853,415375
4854,416679
4861,417983
4864,419287
4869,420591
4876,421895
4881,423199
4887,424501
4892,425805
4895,427109
4900,428413
4904,429717
4907,431021
4912,432325
4917,433628
4920,434932
4924,436236
4926,437540
4928,438844
4932,440148
4936,441452
4942,442755
4943,444059
4947,445363
4947,446667
4950,447968
4954,449272
4959,450576
4967,451878
4968,453182
4973,454486
4976,455790
4976,457092
4978,458396
4979,459699
4984,461001
4989,462305
4995,463608
4999,464909
5001,466213
5001,467517
5005,468821
5009,470125
5010,471429
5014,472732
5017,474036
5021,475340
5023,476644
5025,477948
5027,479252
5029,480556
5031,481860
5034,483164
5037,484468
5040,485772
5040,487156
5041,489002
5041,490847
5041,492691
5042,494537
5050,496383
5055,498229
