0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,avg avg_pollution,avg utility,avg inertia,avg reliability
6,4,3,2,1,1,1,0,1,2,1,3,1,2,1,3,2,7,6,6,6,0,4,6,4,6,5,5,6,6,4,4,4,5,6,6,6,6,7,6,4,6,5,5,6,7,6,7,10,10,1.6995889491820089,0.342334761282814,0.9183673469387762,0.6520000000000004
10,6,1,1,3,1,1,2,1,0,6,7,1,5,6,5,6,6,7,6,6,6,4,5,4,4,4,4,5,6,5,2,4,5,6,7,7,6,7,7,6,7,10,10,9,7,9,9,10,10,1.9707012908856214,0.44095003235964114,0.8367346938775516,0.6016000000000002
10,7,6,7,7,0,4,6,5,6,6,7,6,5,3,1,8,4,5,4,6,6,0,6,6,5,7,2,7,6,8,7,4,6,6,6,6,8,9,9,6,9,10,10,9,7,9,9,10,10,2.3164002358795592,0.5555670343153715,0.6734693877551023,0.5400000000000003
9,7,5,6,0,0,5,6,5,5,4,6,6,4,4,4,6,7,6,4,6,6,4,6,4,6,6,6,5,6,7,7,6,5,6,7,6,7,6,7,9,9,10,10,9,7,9,10,10,9,2.255225499225051,0.5281517738780994,0.9387755102040823,0.5440000000000002
9,7,7,6,1,1,6,3,3,10,6,7,1,3,4,4,5,4,5,5,6,6,6,6,5,0,4,6,0,6,6,5,4,5,6,1,6,6,8,8,7,9,10,10,9,7,9,9,10,10,2.177490609803572,0.5008926770686848,0.7346938775510209,0.5728000000000003
9,7,1,1,0,0,1,2,5,5,6,0,6,4,4,3,6,4,6,5,5,5,5,6,4,3,4,5,6,6,6,6,5,6,6,5,6,7,9,6,7,9,10,10,9,7,9,9,10,10,1.9652807922110236,0.43946654515950534,0.8775510204081638,0.6024000000000002
9,7,1,0,0,0,1,2,2,3,6,6,7,1,2,3,6,3,1,1,5,6,4,6,4,5,6,6,6,6,7,1,4,6,6,5,6,6,7,8,5,7,8,10,9,7,8,9,10,10,1.8520456932777338,0.4013192681791092,0.7755102040816333,0.6320000000000002
9,7,0,1,0,0,1,4,0,3,1,3,1,3,5,3,4,6,5,5,4,6,5,6,4,5,4,4,5,6,6,7,4,5,6,4,6,6,6,7,6,9,10,9,8,8,9,9,10,10,1.8199135497027015,0.3938297081177027,0.8367346938775516,0.6304000000000002
10,0,0,1,1,0,0,0,1,1,1,0,0,3,3,3,1,3,3,1,2,2,2,2,3,1,1,1,1,6,5,5,5,5,6,5,6,6,6,6,6,7,6,10,9,8,9,9,9,10,1.3763259066373614,0.2635924771118186,0.9183673469387762,0.7104000000000003
10,10,0,7,3,6,6,5,5,4,1,6,6,4,4,4,5,4,5,5,5,6,5,6,4,5,6,6,6,6,6,4,4,5,5,5,6,7,7,9,9,9,10,10,9,7,9,9,10,10,2.2596345662446478,0.5307971181480653,0.8775510204081638,0.5512000000000001
10,7,1,1,1,0,0,1,1,0,1,0,1,3,4,3,3,7,3,4,5,1,5,6,4,6,5,6,6,6,5,4,4,5,1,6,6,7,6,7,6,7,10,9,9,7,9,9,10,10,1.7199036084420998,0.36157351165305107,0.8163265306122455,0.6504000000000002
10,1,1,1,1,1,1,2,1,1,1,0,1,0,2,3,6,5,2,2,6,5,5,6,5,5,6,5,6,6,6,4,4,5,6,7,6,7,9,9,9,6,10,10,9,7,9,9,10,10,1.709090745811075,0.3612111780575457,0.8571428571428578,0.6408000000000003
10,9,1,7,4,0,1,6,4,5,6,6,6,6,4,4,5,5,5,5,1,6,4,5,1,1,6,6,6,5,7,5,4,5,6,7,6,7,6,5,6,9,9,9,9,7,9,9,9,10,2.143334852563523,0.4936859713859216,0.7551020408163269,0.5800000000000002
9,8,3,1,0,0,1,1,1,1,0,3,6,4,5,4,4,6,5,2,5,5,4,6,4,5,6,6,6,6,6,5,7,6,6,7,6,6,7,9,9,9,10,10,9,7,9,9,10,10,1.9129941726083508,0.42435765132430453,0.8775510204081638,0.6048000000000002
10,7,7,3,7,6,4,7,4,6,1,6,7,4,4,6,6,5,5,7,6,6,4,1,5,4,7,5,7,6,6,7,5,5,6,6,6,7,7,7,9,9,10,10,9,9,8,9,10,10,2.3593160088517093,0.5617066469498171,0.6938775510204087,0.5304000000000002
10,6,6,6,7,7,6,6,4,5,6,6,7,0,0,3,6,6,5,6,5,6,4,5,4,6,7,7,7,6,7,6,5,6,7,7,6,7,8,7,9,9,9,10,9,8,9,9,10,10,2.3891159212846147,0.569624685306282,0.9183673469387762,0.5216000000000003
10,7,7,1,0,1,6,5,5,2,1,7,6,5,4,4,7,6,5,6,5,5,4,6,4,2,6,6,6,6,7,6,6,6,6,7,9,7,6,9,8,9,10,10,9,7,9,9,9,10,2.1746958330842996,0.5105572073998881,0.8163265306122455,0.5616000000000002
10,7,0,0,1,1,1,1,1,2,1,7,7,3,3,3,5,6,5,2,3,6,6,5,5,6,6,6,4,6,6,5,5,5,6,6,6,6,7,7,6,7,9,10,9,8,9,9,10,9,1.8881231755167236,0.41528652057774684,0.8571428571428578,0.6168000000000002
10,7,5,6,0,6,0,7,6,5,6,7,6,7,4,5,6,7,6,7,7,6,4,6,5,6,6,7,9,8,8,7,5,6,6,7,7,8,9,9,9,10,10,10,9,8,9,10,10,10,2.412878338182139,0.5902868588866019,0.8367346938775516,0.5024000000000002
9,7,0,0,0,1,1,1,2,5,0,1,1,4,6,4,4,5,4,5,6,6,6,6,5,6,5,4,6,6,6,4,4,6,6,7,6,7,6,6,7,9,10,1,9,8,9,9,10,10,1.8372087442395724,0.39802020702837637,0.8775510204081638,0.6240000000000002
10,8,1,0,1,0,0,1,2,1,6,1,1,0,2,3,6,6,6,4,5,5,4,6,4,5,6,6,6,7,6,5,5,6,7,6,6,7,6,7,9,10,10,10,9,7,9,9,10,10,1.868405811969227,0.4082736136400556,0.8775510204081638,0.6128000000000001
9,7,2,1,0,0,1,1,0,2,2,3,1,3,4,2,5,1,5,6,6,2,5,6,3,6,7,7,6,6,4,5,4,5,6,6,6,6,9,8,7,9,10,10,9,8,9,10,10,10,1.7899569766157561,0.39289529942649815,0.7755102040816333,0.6272000000000003
10,0,0,0,0,2,1,1,0,1,0,0,0,0,3,3,1,3,2,1,1,0,2,2,3,1,3,1,1,6,6,5,5,5,6,6,6,6,6,6,6,9,10,10,9,7,10,9,10,9,1.349974969587857,0.26027161428184165,0.8571428571428578,0.7064000000000002
10,7,7,1,7,7,6,4,3,6,6,7,1,7,6,4,6,7,0,6,6,10,0,6,4,7,5,4,6,6,8,7,5,5,4,7,6,7,9,7,6,9,10,9,9,9,9,10,10,10,2.349042538974606,0.5600140704757348,0.6530612244897963,0.5312000000000002
10,7,3,1,1,0,0,1,5,1,6,6,6,1,5,5,1,4,6,7,6,5,5,2,2,2,2,7,6,6,6,5,2,5,5,4,7,6,7,6,5,7,9,10,9,8,9,9,10,10,1.9180513836835564,0.4203973025045778,0.6938775510204087,0.6208000000000002
10,8,7,3,0,7,6,6,6,5,6,6,6,4,5,5,6,2,5,6,4,6,7,6,5,6,7,6,7,6,7,4,4,6,6,7,6,7,8,9,9,10,10,10,9,7,9,9,10,10,2.380024271634193,0.5705466983523034,0.8571428571428578,0.5200000000000002
10,9,4,1,0,0,6,0,6,4,7,3,1,5,6,7,7,7,0,0,1,5,6,6,5,6,6,1,7,6,6,7,4,5,5,6,6,7,6,9,7,9,10,10,9,7,9,9,10,10,2.0631152045838075,0.47049808365982776,0.7142857142857147,0.5904000000000003
9,7,0,0,0,1,0,1,3,1,1,1,1,5,3,4,1,3,3,3,2,2,5,5,4,5,5,5,6,6,5,4,5,5,6,6,6,6,7,6,7,7,8,9,9,8,9,9,10,10,1.661748637543666,0.34910160466083284,0.8979591836734702,0.6576000000000002
9,7,7,6,6,6,6,5,4,5,6,7,6,4,3,4,6,6,6,5,6,6,5,6,6,6,6,4,8,8,7,6,7,6,7,7,6,7,8,9,9,9,9,10,10,7,9,9,10,10,2.4614553794525005,0.5939814167025053,0.9591836734693885,0.49920000000000025
10,7,6,1,1,0,6,5,6,5,6,7,6,4,4,7,6,7,6,5,5,6,4,6,5,5,6,6,7,6,7,6,7,6,6,4,6,7,9,9,9,10,10,10,9,8,9,9,10,10,2.298962149686529,0.5470497520278479,0.9183673469387762,0.5304000000000002
9,7,6,6,7,7,6,7,6,4,6,7,6,5,4,5,5,6,6,5,6,7,6,6,5,9,7,6,6,6,7,7,6,6,7,7,7,8,9,8,9,10,10,10,9,7,9,10,10,10,2.542403951366394,0.6205437241660803,0.9795918367346946,0.4816000000000001
10,9,7,7,6,7,6,4,4,4,6,6,6,4,4,4,6,6,6,6,7,6,7,6,6,4,4,6,7,7,7,7,6,6,6,7,6,7,8,8,9,10,10,10,9,8,9,10,10,10,2.507215868260895,0.6081304777481352,1.0000000000000007,0.48880000000000023
9,9,5,6,1,7,6,5,5,4,6,6,6,4,4,5,5,4,6,6,6,5,7,6,5,6,6,7,7,8,7,6,7,6,6,7,6,7,8,8,9,10,10,10,9,8,9,10,10,10,2.399522934911433,0.5817853887804288,0.9183673469387762,0.5144000000000003
10,9,5,7,7,1,7,6,5,5,6,6,5,7,6,4,4,6,4,6,6,6,6,6,5,6,7,6,9,8,7,7,6,5,6,7,6,7,9,10,9,10,10,10,10,8,9,10,10,10,2.4858151420175023,0.6100376240857388,0.8571428571428578,0.49120000000000014
10,7,0,1,0,3,1,2,1,2,2,1,1,3,3,3,2,1,2,1,3,1,5,6,5,6,5,5,7,6,7,6,5,5,6,6,6,6,9,7,9,9,10,10,9,7,9,9,10,10,1.75591353554019,0.37482783565287847,0.8775510204081638,0.6336000000000003
9,7,0,0,0,0,2,3,2,2,0,6,7,2,3,5,2,7,4,5,5,7,3,6,5,1,7,7,1,7,5,5,4,5,6,3,6,6,1,7,9,8,10,10,10,8,9,9,10,10,1.8423759817885295,0.4012013702484642,0.5306122448979594,0.6304000000000002
9,8,1,1,1,0,1,1,1,1,2,3,1,3,2,2,2,0,6,4,4,7,5,6,5,7,6,7,7,6,7,6,5,6,6,7,6,7,9,8,9,8,9,10,9,8,9,9,10,10,1.8409064048725383,0.4009309004271755,0.8775510204081638,0.6096000000000003
