0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,10-p avg_pollution,10-p utility,10-p inertia,10-p reliability
7,2,0,0,0,0,0,4,9,10,7,9,5,9,8,9,5,10,6,6,5,7,7,6,7,9,5,6,7,5,5,7,6,5,6,3,6,7,2,5,5,2,6,2,2,1,4,2,2,1,0,3,2,1,3,5,2,0,3,1,6,3,2,2,2,3,1,1,1,2,1,1,1,0,0,1,2,0,0,6,2,3,1,2,3,1,1,0,1,0,2,0,0,0,3,2,2,1,2,7,0.19063743283523615,0.2901298584552981,0.626262626262626,0.084
6,1,1,0,0,0,0,1,3,6,6,10,10,9,6,9,6,10,9,6,6,7,5,7,6,6,6,6,0,0,3,2,5,5,4,1,0,1,2,1,6,1,6,2,2,1,1,1,3,6,1,2,1,1,0,3,0,0,0,1,1,4,2,2,2,2,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,4,1,1,0,3,5,0.16315292191159492,0.24332856196077374,0.7171717171717165,0.094
6,2,0,0,0,1,1,1,10,9,9,6,7,9,7,6,6,5,6,6,6,5,5,7,5,6,6,0,1,0,1,0,1,2,2,0,0,0,3,1,1,0,1,2,2,1,1,0,1,1,0,0,1,0,0,1,1,2,1,0,1,2,1,2,1,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,2,1,1,1,1,0.14031635567932274,0.2341023490167741,0.9090909090909075,0.084
0,2,0,0,0,0,1,0,1,0,1,6,10,5,6,6,6,5,9,6,7,10,4,0,4,5,2,6,0,7,7,6,1,1,2,6,3,1,3,1,6,3,7,2,2,1,0,1,3,1,1,3,1,0,0,2,1,0,1,1,1,3,0,1,1,1,2,1,0,2,1,0,0,0,0,0,1,0,3,0,1,7,1,0,0,0,0,0,1,0,1,0,1,1,0,3,1,1,1,2,0.1468854521103025,0.16450144315878626,0.6969696969696964,0.11399999999999999
3,1,0,0,0,0,0,0,0,1,1,1,3,6,7,6,4,2,6,5,1,2,2,0,4,0,7,0,1,0,3,1,1,5,3,0,0,1,7,7,6,2,1,2,2,1,1,1,0,1,0,0,1,1,7,0,1,0,1,0,3,2,0,0,1,2,1,0,1,1,1,0,0,1,0,1,1,0,0,2,2,6,5,1,0,3,1,0,1,0,1,0,1,0,1,3,2,3,3,2,0.12167272492292139,0.11044621362808368,0.7676767676767667,0.12399999999999999
7,2,1,0,0,0,0,0,0,6,0,4,10,6,6,9,6,5,9,7,6,5,4,7,3,6,2,1,0,0,7,6,1,6,6,6,2,0,3,6,1,4,6,2,2,2,1,2,2,1,0,0,1,0,0,0,0,0,0,1,2,3,3,1,0,2,1,0,1,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,4,0,0,0,1,0,0,1,0,2,1,0,1,2,0.14705348497196238,0.20089002370326622,0.7070707070707064,0.10200000000000001
1,2,0,0,0,0,0,0,0,0,2,6,10,9,6,6,6,5,9,7,3,10,5,7,4,5,6,7,1,7,4,2,7,6,3,1,0,1,6,1,1,2,6,2,2,1,0,0,0,1,1,0,1,0,3,1,4,1,1,2,2,1,3,3,1,1,1,0,6,2,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,3,0,0,1,0,1,0,0,3,1,0,2,1,3,2,0.15251694478766198,0.17822576966041728,0.7070707070707064,0.11399999999999999
2,1,0,0,0,0,0,0,0,1,1,1,10,6,6,6,6,10,6,1,6,7,5,0,4,6,1,7,0,0,7,6,2,6,1,7,0,6,2,1,1,0,1,2,2,2,1,2,0,1,0,0,1,0,1,0,0,0,0,0,2,1,1,3,1,6,1,0,1,1,0,0,0,1,0,1,0,0,0,2,1,0,3,1,0,0,0,0,0,0,1,0,0,1,7,0,2,1,0,5,0.13351125395002447,0.14716643658318582,0.6969696969696964,0.12399999999999999
6,6,1,0,1,1,0,10,9,9,9,6,4,5,6,6,6,4,6,1,1,1,1,1,3,1,1,0,1,1,1,0,1,2,1,1,0,1,1,1,1,1,1,2,2,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,3,1,0,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0.12107047895444252,0.22555082415715516,0.9595959595959578,0.07
1,1,1,0,0,0,0,0,0,0,1,6,9,9,7,6,7,5,10,0,6,7,5,7,6,6,3,1,3,7,1,1,1,1,1,0,3,1,2,1,1,4,2,2,2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,3,0,1,1,2,1,1,0,1,0,0,0,0,0,0,7,0,1,1,3,1,1,1,0,1,0,0,2,0,1,0,1,0,1,1,2,1,1,2,0.1342640793466041,0.15727058711664244,0.7979797979797969,0.11399999999999999
