0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,avg avg_pollution,avg utility,avg inertia,avg reliability
10,8,6,7,1,3,1,7,2,5,5,5,6,6,3,6,5,7,5,5,4,3,3,5,5,4,4,4,5,6,2,3,3,3,6,6,5,5,6,4,4,4,1,2,4,5,6,6,6,5,2,5,4,6,6,6,4,1,1,5,6,5,3,6,3,1,6,5,5,6,6,2,2,0,3,6,6,6,1,2,5,6,6,5,6,5,5,3,5,5,5,4,5,6,6,6,5,6,5,6,2.5874445090853135,0.5501424289009944,0.6868686868686862,0.5548000000000003
10,7,7,9,4,6,6,5,5,6,5,6,6,1,5,5,6,4,6,6,6,4,6,5,5,5,6,7,6,6,5,6,7,4,6,7,6,6,6,5,6,7,6,4,5,5,5,6,6,6,7,6,4,6,5,5,6,6,5,6,6,6,7,6,7,6,6,4,5,6,5,5,2,2,4,6,7,6,6,7,6,7,7,6,6,4,6,5,5,6,6,5,6,6,5,5,5,5,5,6,2.9352929354374853,0.6700509000397006,0.9292929292929276,0.4620000000000003
9,8,7,6,7,5,5,5,7,6,6,4,6,1,5,5,6,4,5,5,5,3,3,4,4,4,4,5,4,4,5,1,0,4,6,6,6,5,6,4,0,3,6,5,4,5,5,1,5,5,5,6,6,4,5,6,4,1,2,5,6,6,3,2,3,1,6,6,4,6,6,1,2,1,1,6,6,6,1,7,5,7,7,6,6,5,6,4,5,6,6,5,5,6,6,5,7,6,6,6,2.65577593629602,0.5815299209177914,0.7676767676767667,0.5408000000000004
10,7,7,7,6,5,2,1,4,7,6,4,5,2,2,1,5,5,6,4,5,3,2,4,6,4,3,2,5,6,5,2,0,0,0,5,1,5,5,4,3,2,2,5,0,5,2,6,5,2,4,6,5,3,2,5,4,1,1,5,5,5,0,1,3,5,5,5,5,7,5,5,2,2,3,0,4,1,6,0,6,6,6,6,6,6,1,5,7,4,6,5,6,6,6,6,4,6,6,6,2.4969184276406544,0.5016306760454563,0.5959595959595958,0.5752000000000003
10,6,6,1,1,1,1,1,6,2,5,5,6,2,3,1,6,5,2,6,4,4,3,4,5,4,4,4,5,6,5,1,2,2,2,1,6,6,6,5,4,0,1,2,3,5,6,2,1,1,4,5,4,2,2,6,2,2,2,5,6,4,3,1,2,2,2,5,5,1,5,2,2,6,4,1,5,1,0,0,6,5,4,6,6,4,4,1,2,6,6,2,6,6,6,6,5,4,5,6,2.35097193351611,0.4317669258356666,0.6767676767676761,0.6000000000000003
10,8,7,4,7,6,2,5,5,5,6,5,5,5,5,5,5,4,6,5,4,3,4,4,5,4,4,4,5,6,5,0,1,3,1,5,6,4,6,4,1,3,1,4,4,5,6,6,6,1,5,5,5,6,5,5,4,6,2,2,6,5,4,6,4,6,7,6,4,6,4,2,3,1,4,6,7,6,1,4,5,4,6,6,6,5,6,5,5,6,6,6,6,6,6,6,5,5,5,6,2.6568329905562904,0.5716350037270738,0.8282828282828271,0.5372000000000002
9,7,0,0,1,1,1,1,0,2,0,6,3,1,1,1,6,1,1,6,3,4,0,5,2,4,4,4,5,5,2,2,5,2,6,6,5,7,4,4,3,0,6,2,3,5,1,2,1,5,4,7,4,6,2,2,4,0,1,5,7,7,0,1,7,2,4,4,5,2,2,4,3,3,2,1,6,6,0,0,10,5,5,7,5,3,6,1,2,5,7,2,5,7,6,6,6,4,5,7,2.2187439547981587,0.3600125280100583,0.4646464646464649,0.6200000000000003
9,7,7,6,4,6,5,4,5,5,6,4,6,5,5,5,5,4,6,6,2,3,2,4,5,4,5,4,5,6,5,4,3,4,6,4,6,4,5,4,1,4,6,4,5,5,4,1,5,5,5,6,5,6,6,5,5,6,5,6,7,7,6,6,4,6,6,6,5,6,5,5,4,6,5,6,6,6,6,7,6,4,6,6,6,5,6,7,5,6,6,5,6,6,6,6,5,4,6,5,2.7582311798223405,0.5961081330181486,0.9292929292929276,0.5080000000000002
9,7,7,0,1,1,1,1,0,1,2,2,1,1,2,3,1,2,5,2,2,3,3,5,5,4,5,5,3,3,1,1,3,4,6,4,5,5,5,4,3,3,6,2,5,6,1,1,2,3,4,5,5,5,2,3,4,2,1,7,5,5,2,1,3,2,1,3,4,6,5,4,2,3,4,6,4,5,1,0,6,5,5,5,5,4,6,4,5,5,6,4,5,7,6,6,5,5,5,6,2.264664172058392,0.3738714744237985,0.818181818181817,0.6120000000000003
9,7,7,0,4,7,3,5,5,5,5,4,5,6,2,6,6,4,6,6,4,3,4,5,5,4,4,4,4,6,5,6,3,0,6,5,6,4,6,4,3,3,2,3,5,6,5,5,6,1,3,5,5,5,6,6,5,2,1,5,6,5,4,2,3,1,3,6,4,6,5,2,2,1,2,1,6,1,2,0,6,7,6,5,6,6,6,5,5,6,6,4,6,6,6,5,5,6,6,6,2.578659961906416,0.5432441015822992,0.7777777777777769,0.5560000000000004
